series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Sex description	Units description	2000	2005	2010	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	218	-78.37005241	-1.447785891	ECU	Ecuador	3	BOTHSEX	NUMBER	Both	Number	766	1218	1277	1553	1162	1357.5	2016	1162	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	222	-88.86862995	13.73603564	SLV	El Salvador	1	FEMALE	NUMBER	Female	Number	196	144	137	155	152	153.5	2016	152	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	222	-88.86862995	13.73603564	SLV	El Salvador	2	MALE	NUMBER	Male	Number	591	456	527	727	721	724	2016	721	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	222	-88.86862995	13.73603564	SLV	El Salvador	3	BOTHSEX	NUMBER	Both	Number	786	600	664	882	872	877	2016	872	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	FEMALE	NUMBER	Female	Number	18	22	30	40	42	41	2016	42	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	2	MALE	NUMBER	Male	Number	77	82	129	154	159	156.5	2016	159	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	3	BOTHSEX	NUMBER	Both	Number	95	104	159	194	201	197.5	2016	201	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	231	39.63505296	8.631223181	ETH	Ethiopia	1	FEMALE	NUMBER	Female	Number	1303	1430	1450	1581	1604	1592.5	2016	1604	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	231	39.63505296	8.631223181	ETH	Ethiopia	2	MALE	NUMBER	Male	Number	4032	4647	4950	5583	5719	5651	2016	5719	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	231	39.63505296	8.631223181	ETH	Ethiopia	3	BOTHSEX	NUMBER	Both	Number	5335	6077	6400	7165	7323	7244	2016	7323	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	232	38.11074289	16.12894644	ERI	Eritrea	1	FEMALE	NUMBER	Female	Number	114	108	91	90	89	89.5	2016	89	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	232	38.11074289	16.12894644	ERI	Eritrea	2	MALE	NUMBER	Male	Number	281	306	303	303	304	303.5	2016	304	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	232	38.11074289	16.12894644	ERI	Eritrea	3	BOTHSEX	NUMBER	Both	Number	395	415	393	393	393	393	2016	393	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	233	25.84093481	58.68487172	EST	Estonia	1	FEMALE	NUMBER	Female	Number	95	60	47	37	46	41.5	2016	46	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	233	25.84093481	58.68487172	EST	Estonia	2	MALE	NUMBER	Male	Number	318	246	197	170	188	179	2016	188	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	233	25.84093481	58.68487172	EST	Estonia	3	BOTHSEX	NUMBER	Both	Number	413	306	243	207	234	220.5	2016	234	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	234	-7.122044325	62.21228119	FRO	Faroe Islands	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	234	-7.122044325	62.21228119	FRO	Faroe Islands	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	242	177.9660884	-17.83301566	FJI	Fiji	1	FEMALE	NUMBER	Female	Number	11	10	10	11	11	11	2016	11	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	242	177.9660884	-17.83301566	FJI	Fiji	2	MALE	NUMBER	Male	Number	23	19	31	34	34	34	2016	34	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	242	177.9660884	-17.83301566	FJI	Fiji	3	BOTHSEX	NUMBER	Both	Number	35	29	41	45	45	45	2016	45	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	246	23.308447	61.91586738	FIN	Finland	1	FEMALE	NUMBER	Female	Number	342	309	268	200	226	213	2016	226	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	246	23.308447	61.91586738	FIN	Finland	2	MALE	NUMBER	Male	Number	932	763	748	587	648	617.5	2016	648	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	246	23.308447	61.91586738	FIN	Finland	3	BOTHSEX	NUMBER	Both	Number	1274	1072	1016	787	874	830.5	2016	874	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	248	19.80945969	60.1544901	ALA	Åland Islands	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	248	19.80945969	60.1544901	ALA	Åland Islands	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	248	19.80945969	60.1544901	ALA	Åland Islands	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	250	2.457288129	46.62660861	FRA	France	1	FEMALE	NUMBER	Female	Number	4364	4212	4178	3857	3854	3855.5	2016	3854	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	250	2.457288129	46.62660861	FRA	France	2	MALE	NUMBER	Male	Number	8901	8711	8574	7743	7600	7671.5	2016	7600	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	250	2.457288129	46.62660861	FRA	France	3	BOTHSEX	NUMBER	Both	Number	13264	12923	12752	11601	11455	11528	2016	11455	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	254	-53.23619089	3.922673437	GUF	French Guiana	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	254	-53.23619089	3.922673437	GUF	French Guiana	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	254	-53.23619089	3.922673437	GUF	French Guiana	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	258	-149.4052367	-17.67709294	PYF	French Polynesia	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	258	-149.4052367	-17.67709294	PYF	French Polynesia	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	260	69.64849091	-49.6068576	ATF	French Southern Territories	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	260	69.64849091	-49.6068576	ATF	French Southern Territories	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	262	42.18274707	11.56004161	DJI	Djibouti	1	FEMALE	NUMBER	Female	Number	15	17	15	19	20	19.5	2016	20	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	262	42.18274707	11.56004161	DJI	Djibouti	2	MALE	NUMBER	Male	Number	26	29	29	40	43	41.5	2016	43	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	262	42.18274707	11.56004161	DJI	Djibouti	3	BOTHSEX	NUMBER	Both	Number	42	46	44	59	63	61	2016	63	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	266	11.78727747	-0.60687619	GAB	Gabon	1	FEMALE	NUMBER	Female	Number	22	21	25	31	31	31	2016	31	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	266	11.78727747	-0.60687619	GAB	Gabon	2	MALE	NUMBER	Male	Number	61	65	88	110	109	109.5	2016	109	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	266	11.78727747	-0.60687619	GAB	Gabon	3	BOTHSEX	NUMBER	Both	Number	83	86	114	141	140	140.5	2016	140	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	268	43.3713615	42.04813028	GEO	Georgia	1	FEMALE	NUMBER	Female	Number	58	48	52	56	56	56	2016	56	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	268	43.3713615	42.04813028	GEO	Georgia	2	MALE	NUMBER	Male	Number	227	175	238	264	267	265.5	2016	267	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	268	43.3713615	42.04813028	GEO	Georgia	3	BOTHSEX	NUMBER	Both	Number	285	222	290	320	323	321.5	2016	323	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	270	-15.39944785	13.45295927	GMB	Gambia	1	FEMALE	NUMBER	Female	Number	32	32	31	38	38	38	2016	38	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	270	-15.39944785	13.45295927	GMB	Gambia	2	MALE	NUMBER	Male	Number	50	51	56	65	66	65.5	2016	66	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	270	-15.39944785	13.45295927	GMB	Gambia	3	BOTHSEX	NUMBER	Both	Number	82	83	87	103	105	104	2016	105	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	275	35.25694122	31.94347933	PSE	State of Palestine	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	275	35.25694122	31.94347933	PSE	State of Palestine	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	275	35.25694122	31.94347933	PSE	State of Palestine	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	276	10.3806066	51.08862743	DEU	Germany	1	FEMALE	NUMBER	Female	Number	3226	2987	2902	3256	3199	3227.5	2016	3199	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	276	10.3806066	51.08862743	DEU	Germany	2	MALE	NUMBER	Male	Number	8776	8161	8161	7996	7946	7971	2016	7946	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	276	10.3806066	51.08862743	DEU	Germany	3	BOTHSEX	NUMBER	Both	Number	12002	11148	11063	11252	11145	11198.5	2016	11145	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	288	-1.205623522	7.964825185	GHA	Ghana	1	FEMALE	NUMBER	Female	Number	177	208	256	292	297	294.5	2016	297	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	288	-1.205623522	7.964825185	GHA	Ghana	2	MALE	NUMBER	Male	Number	583	717	907	1167	1218	1192.5	2016	1218	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	288	-1.205623522	7.964825185	GHA	Ghana	3	BOTHSEX	NUMBER	Both	Number	760	925	1163	1459	1515	1487	2016	1515	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	292	-5.347561686	36.13895036	GIB	Gibraltar	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	292	-5.347561686	36.13895036	GIB	Gibraltar	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	296	-157.5643005	1.768837732	KIR	Kiribati	1	FEMALE	NUMBER	Female	Number	2	3	3	3	3	3	2016	3	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	296	-157.5643005	1.768837732	KIR	Kiribati	2	MALE	NUMBER	Male	Number	9	10	12	13	14	13.5	2016	14	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	296	-157.5643005	1.768837732	KIR	Kiribati	3	BOTHSEX	NUMBER	Both	Number	12	13	15	16	16	16	2016	16	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	300	22.58307827	39.47301873	GRC	Greece	1	FEMALE	NUMBER	Female	Number	84	79	41	108	113	110.5	2016	113	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	300	22.58307827	39.47301873	GRC	Greece	2	MALE	NUMBER	Male	Number	298	321	339	432	444	438	2016	444	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	300	22.58307827	39.47301873	GRC	Greece	3	BOTHSEX	NUMBER	Both	Number	382	400	380	540	557	548.5	2016	557	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	304	-41.39371316	74.75625681	GRL	Greenland	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	304	-41.39371316	74.75625681	GRL	Greenland	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	304	-41.39371316	74.75625681	GRL	Greenland	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	308	-61.68248568	12.11238395	GRD	Grenada	1	FEMALE	NUMBER	Female	Number	1	0	0	1	1	1	2016	1	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	308	-61.68248568	12.11238395	GRD	Grenada	2	MALE	NUMBER	Male	Number	1	2	1	1	1	1	2016	1	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	308	-61.68248568	12.11238395	GRD	Grenada	3	BOTHSEX	NUMBER	Both	Number	2	3	1	1	2	1.5	2016	2	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	312	-61.64762115	16.14416917	GLP	Guadeloupe	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	312	-61.64762115	16.14416917	GLP	Guadeloupe	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	316	144.7029305	13.35485404	GUM	Guam	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	316	144.7029305	13.35485404	GUM	Guam	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	316	144.7029305	13.35485404	GUM	Guam	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	320	-91.2312746	15.00273719	GTM	Guatemala	1	FEMALE	NUMBER	Female	Number	93	120	110	160	150	155	2016	150	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	320	-91.2312746	15.00273719	GTM	Guatemala	2	MALE	NUMBER	Male	Number	282	294	312	344	298	321	2016	298	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	320	-91.2312746	15.00273719	GTM	Guatemala	3	BOTHSEX	NUMBER	Both	Number	375	414	422	504	448	476	2016	448	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	324	-11.28173419	11.00210343	GIN	Guinea	1	FEMALE	NUMBER	Female	Number	238	259	277	314	312	313	2016	312	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	324	-11.28173419	11.00210343	GIN	Guinea	2	MALE	NUMBER	Male	Number	314	404	440	460	463	461.5	2016	463	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	324	-11.28173419	11.00210343	GIN	Guinea	3	BOTHSEX	NUMBER	Both	Number	552	663	717	773	775	774	2016	775	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	328	-58.97322037	4.788012784	GUY	Guyana	1	FEMALE	NUMBER	Female	Number	46	48	51	56	55	55.5	2016	55	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	328	-58.97322037	4.788012784	GUY	Guyana	2	MALE	NUMBER	Male	Number	130	135	149	168	171	169.5	2016	171	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	328	-58.97322037	4.788012784	GUY	Guyana	3	BOTHSEX	NUMBER	Both	Number	176	183	200	223	226	224.5	2016	226	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	332	-72.33640958	18.40426539	HTI	Haiti	1	FEMALE	NUMBER	Female	Number	192	235	286	349	354	351.5	2016	354	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
