series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Location	Units	Location description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ALLAREA	PERCENT	All areas	Percentage	98.69	98.25	98.51	98.7	98.95	99.05	99.15	99.22	99.26	99.41	99	99.23	99.5	99.56	99.36	99.41	100	99.566	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	188	-84.19712782	9.970998683	CRI	Costa Rica	2	URBAN	PERCENT	Urban	Percentage	99.96	99.87	99.86	99.88	99.85	99.89	99.93	99.92	99.92	99.93	99.75	99.96	99.98	99.94	99.7	99.93	100	99.91	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	188	-84.19712782	9.970998683	CRI	Costa Rica	3	RURAL	PERCENT	Rural	Percentage	96.84	95.77	96.47	96.9	97.59	97.8	97.96	98.17	98.28	98.64	97.73	97.99	98.69	98.92	98.41	98.64	100	98.932	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	191	17.95874553	45.45172212	HRV	Croatia	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	191	17.95874553	45.45172212	HRV	Croatia	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	191	17.95874553	45.45172212	HRV	Croatia	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	192	-79.54460144	22.10030366	CUB	Cuba	1	ALLAREA	PERCENT	All areas	Percentage	97	97.28	97.62	97.95	98.29	98.63	98.98	99.33	99.64	99.86	99.96	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	192	-79.54460144	22.10030366	CUB	Cuba	2	URBAN	PERCENT	Urban	Percentage	100	99.94	99.98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	192	-79.54460144	22.10030366	CUB	Cuba	3	RURAL	PERCENT	Rural	Percentage	87.9	89.05	90.22	91.49	92.85	94.25	95.71	97.17	98.48	99.39	99.85	99.98	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	196	33.22285964	35.05659437	CYP	Cyprus	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	196	33.22285964	35.05659437	CYP	Cyprus	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	196	33.22285964	35.05659437	CYP	Cyprus	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	203	15.33151382	49.73913871	CZE	Czechia	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	203	15.33151382	49.73913871	CZE	Czechia	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	203	15.33151382	49.73913871	CZE	Czechia	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	204	2.339933594	9.65401646	BEN	Benin	1	ALLAREA	PERCENT	All areas	Percentage	20.67	21.9	23.15	24.37	25.6	26.83	27.9	29.34	30.62	31.93	34.2	36.9	38.4	37.3	34.1	40.03	41.4	38.246	2016	41.4	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	204	2.339933594	9.65401646	BEN	Benin	2	URBAN	PERCENT	Urban	Percentage	45.73	49.6	48.77	50.29	51.81	53.33	56.6	56.41	57.97	59.55	65.4	67	68.6	65.92	55.8	69.14	70.75	66.042	2016	70.75	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	204	2.339933594	9.65401646	BEN	Benin	3	RURAL	PERCENT	Rural	Percentage	5.09	5.5	6.79	7.6	8.39	9.18	8.5	10.75	11.55	12.37	13.9	12.4	14.5	15.63	13.7	17.21	17.97	15.802	2016	17.97	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	208	9.326571283	56.03829721	DNK	Denmark	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	208	9.326571283	56.03829721	DNK	Denmark	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	208	9.326571283	56.03829721	DNK	Denmark	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	212	-61.3493756	15.43391378	DMA	Dominica	1	ALLAREA	PERCENT	All areas	Percentage	80.83	82.21	87.7	84.96	86.33	87.71	89.1	90.5	90.9	93.38	94.85	96.33	97.82	98.86	99.58	99.9	100	99.232	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	212	-61.3493756	15.43391378	DMA	Dominica	2	URBAN	PERCENT	Urban	Percentage	80.83	82.21	87.7	84.96	86.33	87.71	89.1	90.5	90.9	93.38	94.85	96.33	97.82	98.86	99.58	99.9	100	99.232	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	212	-61.3493756	15.43391378	DMA	Dominica	3	RURAL	PERCENT	Rural	Percentage	80.83	82.21	87.7	84.96	86.33	87.71	89.1	90.5	90.9	93.38	94.85	96.33	97.82	98.86	99.58	99.9	100	99.232	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ALLAREA	PERCENT	All areas	Percentage	88.76	89.79	89.75	89.17	90.32	90.14	90.12	96.88	97.58	97.86	98.15	97.9	97.87	98.39	98.47	98.56	100	98.658	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	214	-70.49847576	18.89832088	DOM	Dominican Republic	2	URBAN	PERCENT	Urban	Percentage	96.57	96.95	96.67	95.04	95.52	95.18	94.39	99.61	99.57	99.73	99.77	99.72	99.65	99.88	99.86	99.83	100	99.844	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	214	-70.49847576	18.89832088	DOM	Dominican Republic	3	RURAL	PERCENT	Rural	Percentage	73.79	76.37	76.72	78.6	80.45	80.8	81.99	91.85	93.31	93.9	94.68	94.01	94.21	95.23	95.64	95.91	100	96.198	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ALLAREA	PERCENT	All areas	Percentage	93.42	93.77	94.12	94.97	94.79	95.83	96.32	96.81	97.21	96.47	97.46	96.87	97.19	98.03	98.98	98.83	99.94	98.594	2016	99.94	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	218	-78.37005241	-1.447785891	ECU	Ecuador	2	URBAN	PERCENT	Urban	Percentage	99.1	99.13	99.16	99.29	99.21	99.67	99.53	99.63	99.59	98.98	99.72	99.78	99.63	99.55	99.83	99.87	100	99.776	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	218	-78.37005241	-1.447785891	ECU	Ecuador	3	RURAL	PERCENT	Rural	Percentage	84.78	85.46	86.2	85.87	87.73	87.72	89.44	90.7	92.14	91.16	92.66	91.16	92.33	94.73	97.05	96.4	99.82	96.066	2016	99.82	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	222	-88.86862995	13.73603564	SLV	El Salvador	1	ALLAREA	PERCENT	All areas	Percentage	84.52	87.06	87.55	86.96	87.36	87.53	89.2	91.11	91	91.08	91.58	92.57	93.68	95.04	95.13	95.4	98.62	95.574	2016	98.62	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	222	-88.86862995	13.73603564	SLV	El Salvador	2	URBAN	PERCENT	Urban	Percentage	96.1	97.11	97.27	96.5	96.48	96.46	97.2	97.08	96.49	96.57	96.87	97.23	97.85	97.76	97.79	98	98.55	97.99	2016	98.55	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	222	-88.86862995	13.73603564	SLV	El Salvador	3	RURAL	PERCENT	Rural	Percentage	65.17	70.07	71.06	71.22	71.9	72.17	75.65	79.51	79.39	80.33	81.5	83.82	85.67	90	90.26	90.6	98.75	91.056	2016	98.75	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ALLAREA	PERCENT	All areas	Percentage	62.41	62.7	62.98	63.26	63.53	63.81	64.1	64.41	64.74	65.09	65.46	66.1	66.24	66.65	67.06	67.47	67.89	67.062	2016	67.89	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	2	URBAN	PERCENT	Urban	Percentage	96.36	95.97	95.57	95.18	94.78	94.4	94.02	93.65	93.3	92.95	92.62	93.1	91.99	91.68	91.37	91.07	90.76	91.374	2016	90.76	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	3	RURAL	PERCENT	Rural	Percentage	40.88	41.61	42.33	43.02	43.69	44.37	45.05	45.74	46.45	47.18	47.93	43	49.46	50.23	51.01	51.79	52.57	51.012	2016	52.57	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	231	39.63505296	8.631223181	ETH	Ethiopia	1	ALLAREA	PERCENT	All areas	Percentage	12.7	10.81	12.37	13.91	15.46	14	18.58	20.16	21.76	23.39	25.03	23	28.36	30.04	27.2	33.42	42.9	32.384	2016	42.9	Source: Global Tracking Framework 2018	G
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	231	39.63505296	8.631223181	ETH	Ethiopia	2	URBAN	PERCENT	Urban	Percentage	76.2	79.95	80.49	81.03	81.57	85.7	82.68	83.24	83.83	84.42	85.02	85.2	86.26	86.89	91.98	88.15	85.4	87.736	2016	85.4	Source: Global Tracking Framework 2018	G
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	231	39.63505296	8.631223181	ETH	Ethiopia	3	RURAL	PERCENT	Rural	Percentage	0.4		0.23	1.78	3.33	1.9	6.46	8.04	9.49	10.97	12.47	4.8	15.52	17.06	12.2	20.18	26.5	18.292	2016	26.5	Source: Global Tracking Framework 2018	G
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	232	38.11074289	16.12894644	ERI	Eritrea	1	ALLAREA	PERCENT	All areas	Percentage	29.18	30.22	32.2	32.28	33.3	34.33	35.37	36.43	37.52	38.62	39.74	40.88	42.03	43.18	44.35	45.51	46.68	44.35	2016	46.68	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	232	38.11074289	16.12894644	ERI	Eritrea	2	URBAN	PERCENT	Urban	Percentage	78.91	78.59	78.3	77.96	77.65	77.35	77.05	76.77	76.49	76.23	75.99	75.75	75.51	75.29	75.06	74.84	74.62	75.064	2016	74.62	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	232	38.11074289	16.12894644	ERI	Eritrea	3	RURAL	PERCENT	Rural	Percentage	18.59	19.75	3	22.03	23.17	24.31	25.47	26.65	27.86	29.09	30.35	31.63	33.15	34.67	36.2	37.74	39.27	36.206	2016	39.27	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	233	25.84093481	58.68487172	EST	Estonia	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	233	25.84093481	58.68487172	EST	Estonia	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	233	25.84093481	58.68487172	EST	Estonia	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	234	-7.122044325	62.21228119	FRO	Faroe Islands	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	234	-7.122044325	62.21228119	FRO	Faroe Islands	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ALLAREA	PERCENT	All areas	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	2	URBAN	PERCENT	Urban	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	3	RURAL	PERCENT	Rural	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ALLAREA	PERCENT	All areas	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	2	URBAN	PERCENT	Urban	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	3	RURAL	PERCENT	Rural	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	242	177.9660884	-17.83301566	FJI	Fiji	1	ALLAREA	PERCENT	All areas	Percentage	75.39	76.8	79.63	80	80.95	82.34	83.74	88.9	86.16	88.07	89.55	91.05	92.55	91.75	95.59	97.12	98.65	95.132	2016	98.65	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	242	177.9660884	-17.83301566	FJI	Fiji	2	URBAN	PERCENT	Urban	Percentage	91.38	91.83	92.05	92	93.15	93.6	94.06	94.53	96.47	95.51	96.01	96.53	97.05	97.26	98.11	98.65	99.18	98.05	2016	99.18	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	242	177.9660884	-17.83301566	FJI	Fiji	3	RURAL	PERCENT	Rural	Percentage	60.69	62.75	69.43	69	69.01	71.14	73.32	83.12	76.06	80.19	82.59	85.05	87.56	85.97	92.71	95.35	98.02	91.922	2016	98.02	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	246	23.308447	61.91586738	FIN	Finland	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	246	23.308447	61.91586738	FIN	Finland	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	246	23.308447	61.91586738	FIN	Finland	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	248	19.80945969	60.1544901	ALA	Åland Islands	1	ALLAREA	PERCENT	All areas	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	248	19.80945969	60.1544901	ALA	Åland Islands	2	URBAN	PERCENT	Urban	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	248	19.80945969	60.1544901	ALA	Åland Islands	3	RURAL	PERCENT	Rural	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	250	2.457288129	46.62660861	FRA	France	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	250	2.457288129	46.62660861	FRA	France	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	250	2.457288129	46.62660861	FRA	France	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	254	-53.23619089	3.922673437	GUF	French Guiana	1	ALLAREA	PERCENT	All areas	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	254	-53.23619089	3.922673437	GUF	French Guiana	2	URBAN	PERCENT	Urban	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	254	-53.23619089	3.922673437	GUF	French Guiana	3	RURAL	PERCENT	Rural	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	258	-149.4052367	-17.67709294	PYF	French Polynesia	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	258	-149.4052367	-17.67709294	PYF	French Polynesia	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ALLAREA	PERCENT	All areas	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	260	69.64849091	-49.6068576	ATF	French Southern Territories	2	URBAN	PERCENT	Urban	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	260	69.64849091	-49.6068576	ATF	French Southern Territories	3	RURAL	PERCENT	Rural	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	262	42.18274707	11.56004161	DJI	Djibouti	1	ALLAREA	PERCENT	All areas	Percentage	56.84	56.48	49.7	55.71	55.33	54.95	55.5	54.23	53.9	53.59	53.3	53.03	54.6	52.52	52.27	52.03	51.78	52.64	2016	51.78	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	262	42.18274707	11.56004161	DJI	Djibouti	2	URBAN	PERCENT	Urban	Percentage	57.02	57.62	56.9	58.82	59.43	60.03	62.4	61.28	61.93	62.58	63.25	63.92	64.24	65.29	65.98	66.68	67.37	65.912	2016	67.37	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	262	42.18274707	11.56004161	DJI	Djibouti	3	RURAL	PERCENT	Rural	Percentage	56.28	52.74	10.2	45.49	41.82	38.13	9.9	30.8	27.18	23.6	20.02	16.46	4.37	9.29	5.67	2.01		5.335	2015	2.01	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	266	11.78727747	-0.60687619	GAB	Gabon	1	ALLAREA	PERCENT	All areas	Percentage	73.6	76.12	77.07	78.02	78.96	81.6	80.88	81.86	82.86	83.89	84.93	85.99	89.3	86.4	89.22	90.31	91.4	89.326	2016	91.4	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	266	11.78727747	-0.60687619	GAB	Gabon	2	URBAN	PERCENT	Urban	Percentage	90.2	91.55	91.84	92.13	92.43	93.2	93.04	93.36	93.69	94.04	94.39	94.76	98.1	94.3	95.9	96.28	96.66	96.248	2016	96.66	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	266	11.78727747	-0.60687619	GAB	Gabon	3	RURAL	PERCENT	Rural	Percentage	29.7	10.99	11.74	12.71	13.94	34.6	17.28	19.45	22	24.93	28.22	31.88	44.9	37.4	44.86	49.78	54.96	46.38	2016	54.96	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	268	43.3713615	42.04813028	GEO	Georgia	1	ALLAREA	PERCENT	All areas	Percentage	98.78	98.84	99.9	98.93	98.97	97.94	99.08	99.15	99.25	99.36	99.5	99.64	100	99.9	100	99.99	100	99.978	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	268	43.3713615	42.04813028	GEO	Georgia	2	URBAN	PERCENT	Urban	Percentage	99.01	99.06	100	99.14	99.19	98.32	99.3	99.37	99.45	99.54	99.64	99.76	100	99.94	100	100	100	99.988	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	268	43.3713615	42.04813028	GEO	Georgia	3	RURAL	PERCENT	Rural	Percentage	98.53	98.61	99.7	98.7	98.74	97.55	98.84	98.92	99.03	99.17	99.33	99.51	100	99.85	100	99.99	100	99.968	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	270	-15.39944785	13.45295927	GMB	Gambia	1	ALLAREA	PERCENT	All areas	Percentage	34.3	29.75	30.88	32.01	33.14	30.46	35.42	36.58	37.77	38.97	40.2	41.44	42.69	44.5	45.22	46.49	47.76	45.332	2016	47.76	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	270	-15.39944785	13.45295927	GMB	Gambia	2	URBAN	PERCENT	Urban	Percentage	51.16	51.68	52.79	53.9	55.01	54.44	57.25	58.39	59.54	60.7	61.88	63.06	64.25	66.4	66.64	67.84	69.04	66.834	2016	69.04	Source: Global Tracking Framework 2018	E
