"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Bounds_Code","Bounds_Desc","ReportingType_Code","ReportingType_Desc","Value_1990","Value_1991","Value_1992","Value_1993","Value_1994","Value_1995","Value_1996","Value_1997","Value_1998","Value_1999","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Latest_Year","Latest_Value","Nature_Desc","Source"
"140","Central African Republic","CAF","20.93559492","7.003720791","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","1290","1310","1320","1320","1320","1300","1290","1280","1260","1230","1200","1190","1170","1150","1110","1060","1020","992","963","941","909","888","876","873","872","882",2015.0,"882","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"140","Central African Republic","CAF","20.93559492","7.003720791","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","1720","1740","1750","1750","1770","1780","1780","1780","1780","1780","1750","1760","1730","1700","1660","1620","1590","1550","1520","1500","1480","1460","1440","1460","1470","1500",2015.0,"1500","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"144","Sri Lanka","LKA","80.70489654","7.614693343","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","90","86","83","78","78","79","76","73","66","64","63","51","50","51","48","47","46","44","43","42","41","39","38","38","38","38",2015.0,"38","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"144","Sri Lanka","LKA","80.70489654","7.614693343","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","65","64","63","60","61","63","61","60","54","52","52","42","41","42","40","39","38","35","34","33","31","30","28","28","27","26",2015.0,"26","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"144","Sri Lanka","LKA","80.70489654","7.614693343","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","75","73","72","68","69","70","68","67","60","58","57","47","45","46","44","43","42","39","38","36","35","33","32","32","31","30",2015.0,"30","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"148","Chad","TCD","18.66618401","15.36279341","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","1100","1120","1130","1120","1130","1120","1110","1100","1090","1080","1070","1050","1010","965","915","860","823","789","763","749","718","675","635","603","579","560",2015.0,"560","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"148","Chad","TCD","18.66618401","15.36279341","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","1450","1440","1450","1440","1440","1430","1410","1410","1390","1390","1370","1360","1310","1260","1220","1170","1130","1100","1070","1070","1040","984","931","901","881","856",2015.0,"856","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"148","Chad","TCD","18.66618401","15.36279341","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","1900","1880","1870","1850","1840","1830","1810","1810","1800","1800","1790","1790","1740","1690","1650","1600","1560","1550","1510","1540","1510","1450","1380","1370","1360","1350",2015.0,"1350","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"152","Chile","CHL","-71.23029019","-35.2652885","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","57","52","48","45","43","41","39","36","34","34","31","32","29","29","29","27","28","29","28","27","26","25","24","23","23","22",2015.0,"22","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"152","Chile","CHL","-71.23029019","-35.2652885","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","64","59","54","51","48","46","43","40","38","37","34","35","32","32","32","30","31","32","31","30","29","28","28","27","27","26",2015.0,"26","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"152","Chile","CHL","-71.23029019","-35.2652885","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","51","47","43","41","39","38","35","33","31","30","27","28","25","25","26","24","25","25","24","24","23","22","21","20","19","18",2015.0,"18","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"156","China","CHN","104.1403375","32.30955217","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","80","77","73","69","66","62","59","56","55","53","52","50","49","47","45","43","41","38","36","33","31","28","26","24","23","22",2015.0,"22","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"156","China","CHN","104.1403375","32.30955217","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","97","92","87","82","77","72","68","64","62","60","58","56","54","52","50","48","45","43","40","38","35","33","31","29","28","27",2015.0,"27","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"156","China","CHN","104.1403375","32.30955217","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","117","110","103","96","90","84","78","74","70","68","65","63","61","59","56","53","51","48","45","42","40","37","35","34","33","32",2015.0,"32","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"162","Christmas Island","CXR","105.6426067","-10.4882473","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"162","Christmas Island","CXR","105.6426067","-10.4882473","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"162","Christmas Island","CXR","105.6426067","-10.4882473","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"166","Cocos (Keeling) Islands","CCK","96.82633757","-12.18600682","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"166","Cocos (Keeling) Islands","CCK","96.82633757","-12.18600682","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"166","Cocos (Keeling) Islands","CCK","96.82633757","-12.18600682","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170","Colombia","COL","-73.07446751","3.888209046","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","142","144","139","134","127","121","117","111","110","107","104","100","97","93","88","86","84","83","82","83","83","80","79","81","81","81",2015.0,"81","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"170","Colombia","COL","-73.07446751","3.888209046","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","118","120","118","114","109","105","103","98","99","98","97","95","93","89","83","80","77","75","73","73","72","69","66","67","66","64",2015.0,"64","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"170","Colombia","COL","-73.07446751","3.888209046","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","94","97","96","95","92","90","90","87","89","90","90","90","89","84","78","74","71","69","67","67","65","62","59","60","58","56",2015.0,"56","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"174","Comoros","COM","43.34234565","-11.66121732","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","961","934","909","891","876","853","840","824","805","783","765","744","726","702","685","662","649","634","622","610","595","581","567","557","545","536",2015.0,"536","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"174","Comoros","COM","43.34234565","-11.66121732","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","635","619","606","592","576","563","549","533","521","509","499","484","471","458","447","436","426","415","407","396","388","376","365","354","344","335",2015.0,"335","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"174","Comoros","COM","43.34234565","-11.66121732","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","414","404","392","381","371","363","356","347","338","330","324","316","306","297","292","285","282","276","268","259","252","242","230","222","214","207",2015.0,"207","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"175","Mayotte","MYT","45.14015057","-12.82217691","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"175","Mayotte","MYT","45.14015057","-12.82217691","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"175","Mayotte","MYT","45.14015057","-12.82217691","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"178","Congo","COG","15.22052612","-0.840544119","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","857","858","852","847","857","861","871","883","878","880","864","865","862","843","816","781","755","737","718","716","696","681","673","663","646","638",2015.0,"638","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"178","Congo","COG","15.22052612","-0.840544119","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","603","608","612","615","627","634","646","653","651","657","653","657","655","641","622","596","575","555","537","525","509","494","483","469","452","442",2015.0,"442","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"178","Congo","COG","15.22052612","-0.840544119","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","421","429","436","443","455","465","474","484","485","492","492","495","494","483","467","448","434","417","398","386","367","353","340","323","308","300",2015.0,"300","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"180","Democratic Republic of the Congo","COD","23.65496507","-2.877154732","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","610","615","619","627","634","651","655","656","653","648","639","630","622","611","606","609","618","631","621","619","616","596","584","560","532","509",2015.0,"509","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"180","Democratic Republic of the Congo","COD","23.65496507","-2.877154732","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","1250","1240","1230","1230","1240","1250","1250","1240","1220","1190","1160","1120","1080","1050","1020","1010","1000","1020","1010","1020","1040","1040","1040","1040","1020","1010",2015.0,"1010","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"180","Democratic Republic of the Congo","COD","23.65496507","-2.877154732","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","879","881","883","890","904","914","920","919","915","902","874","853","830","808","793","787","789","803","792","793","794","777","771","746","717","693",2015.0,"693","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"184","Cook Islands","COK","-159.7711391","-21.22696458","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"184","Cook Islands","COK","-159.7711391","-21.22696458","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"184","Cook Islands","COK","-159.7711391","-21.22696458","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"188","Costa Rica","CRI","-84.19712782","9.970998683","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","48","51","48","46","48","48","49","47","43","45","43","41","42","40","36","35","36","32","33","35","32","31","30","30","29","29",2015.0,"29","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"188","Costa Rica","CRI","-84.19712782","9.970998683","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","38","40","38","37","38","39","40","38","35","36","35","33","34","33","30","29","30","27","27","29","26","24","23","22","21","20",2015.0,"20","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"188","Costa Rica","CRI","-84.19712782","9.970998683","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","43","45","43","41","43","44","44","42","39","40","38","36","37","36","32","31","33","29","30","32","29","28","27","26","26","25",2015.0,"25","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"191","Croatia","HRV","17.95874553","45.45172212","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","12","14","13","14","15","15","17","15","15","13","13","12","13","13","13","13","13","13","13","13","13","12","12","11","11","11",2015.0,"11","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"191","Croatia","HRV","17.95874553","45.45172212","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","8","10","9","9","10","10","12","10","10","9","9","9","9","9","9","9","9","9","9","8","8","8","7","7","7","6",2015.0,"6","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"191","Croatia","HRV","17.95874553","45.45172212","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","10","12","11","11","12","12","14","12","12","11","11","10","11","11","11","11","11","11","11","10","10","10","9","9","9","8",2015.0,"8","Estimated data","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
