ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2006,Footnotes_2007,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Footnotes_2017,Nature_Code_2006,Nature_Code_2007,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Nature_Code_2017,Source_2006,Source_2007,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,Source_2017,TimeDetail_2006,TimeDetail_2007,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,TimeDetail_2017,Value_2006,Value_2007,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Value_2017,Latest_Year,Latest_Value
HND,-86.59974381,14.82243161,340,Honduras,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,8.7,,2016.0,8.7
HUN,19.41221519,47.1651448,348,Hungary,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,2.1,,,,,2013.0,2.1
,,,35,South-Eastern Asia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,29.6,2017.0,29.6
IND,79.3608464,22.34642074,356,India,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,22.7,,,,2014.0,22.7
IDN,113.9174,-0.994582204,360,Indonesia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,30.6,,,2015.0,30.6
IRQ,43.76606267,33.05013795,368,Iraq,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,37.3,,,,,,,2011.0,37.3
ISR,34.62277992,31.06164552,376,Israel,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,0.1,,,,,2013.0,0.1
CIV,-5.552690016,7.62211586,384,Côte d'Ivoire,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,25.3,,2016.0,25.3
JAM,-77.31068409,18.15616857,388,Jamaica,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,19.3,,,,,,,,2010.0,19.3
,,,39,Southern Europe,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,9.5,2017.0,9.5
KAZ,66.65359159,48.01963494,398,Kazakhstan,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,26.7,,,,,2013.0,26.7
AFG,66.02688198,33.83160199,4,Afghanistan,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,46.8,,,,2014.0,46.8
JOR,37.13024774,30.65365973,400,Jordan,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,12.7,,,,,2013.0,12.7
KEN,37.86096816,0.534797278,404,Kenya,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,26.4,,,,,2013.0,26.4
KGZ,74.52324839,41.46204516,417,Kyrgyzstan,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,59.8,,,,,2013.0,59.8
LAO,101.9901968,20.27482773,418,Lao People's Democratic Republic,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,16.4,,2016.0,16.4
,,,419,Latin America and the Caribbean,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,8.9,2017.0,8.9
LBN,35.89391711,33.92152458,422,Lebanon,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,19.2,,,,,2013.0,19.2
LSO,28.25362195,-29.58041814,426,Lesotho,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,14.6,,2016.0,14.6
LVA,26.42461876,56.64196636,428,Latvia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,3.5,,,,,2013.0,3.5
LBR,-9.311879038,6.448381009,430,Liberia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,56.1,2017.0,56.1
,,,432,Landlocked developing countries (LLDCs),16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,21.1,2017.0,21.1
BHS,-78.05111663,24.69546597,44,Bahamas,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,2010.0,21.0
LTU,23.90517807,55.33680309,440,Lithuania,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,10.4,,,,,2013.0,10.4
MDG,46.6982339,-19.38514785,450,Madagascar,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,32.9,,,,,2013.0,32.9
MWI,33.4884625,-13.40819859,454,Malawi,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,24.2,,,,2014.0,24.2
MYS,116.8346314,5.452415309,458,Malaysia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,28.2,,,2015.0,28.2
MLI,-3.522016039,17.35311254,466,Mali,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,33.7,,2016.0,33.7
MRT,-10.33187259,20.26089546,478,Mauritania,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,28.9,,,,2014.0,28.9
MUS,57.568022,-20.28581998,480,Mauritius,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,2009.0,3.9
MEX,-102.5148166,23.93378032,484,Mexico,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,17.6,,,,,,,,2010.0,17.6
,,,485,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,24.3,2017.0,24.3
MNG,103.0728057,46.83892054,496,Mongolia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,33.4,,,,,2013.0,33.4
MDA,28.4650624,47.20236795,498,Republic of Moldova,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,31.0,,,,,2013.0,31.0
MNE,19.25214024,42.78717043,499,Montenegro,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,18.8,,,,,2013.0,18.8
,,,5,South America,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,8.5,2017.0,8.5
BGD,89.17660788,22.86961622,50,Bangladesh,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,47.7,,,,,2013.0,47.7
MAR,-6.281942841,31.8440131,504,Morocco,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,37.2,,,,,2013.0,37.2
MOZ,38.18479941,-14.27963886,508,Mozambique,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,,,,,2007.0,12.4
ARM,44.93839317,40.29499741,51,Armenia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,7.1,,,,,2013.0,7.1
,,,513,Europe and Northern America,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,10.4,2017.0,10.4
,,,514,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,9.9,2017.0,9.9
