"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","TypeOfMobileTechnology_Code","TypeOfMobileTechnology_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"214","Dominican Republic","DOM","-70.49847576","18.89832088","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"214","Dominican Republic","DOM","-70.49847576","18.89832088","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"218","Ecuador","ECU","-78.37005241","-1.447785891","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"218","Ecuador","ECU","-78.37005241","-1.447785891","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"218","Ecuador","ECU","-78.37005241","-1.447785891","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"222","El Salvador","SLV","-88.86862995","13.73603564","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"222","El Salvador","SLV","-88.86862995","13.73603564","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"222","El Salvador","SLV","-88.86862995","13.73603564","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"226","Equatorial Guinea","GNQ","10.46535826","1.565792376","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"226","Equatorial Guinea","GNQ","10.46535826","1.565792376","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"226","Equatorial Guinea","GNQ","10.46535826","1.565792376","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"231","Ethiopia","ETH","39.63505296","8.631223181","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"231","Ethiopia","ETH","39.63505296","8.631223181","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"231","Ethiopia","ETH","39.63505296","8.631223181","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"232","Eritrea","ERI","38.11074289","16.12894644","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"232","Eritrea","ERI","38.11074289","16.12894644","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"232","Eritrea","ERI","38.11074289","16.12894644","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"233","Estonia","EST","25.84093481","58.68487172","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"233","Estonia","EST","25.84093481","58.68487172","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"233","Estonia","EST","25.84093481","58.68487172","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"234","Faroe Islands","FRO","-7.122044325","62.21228119","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"234","Faroe Islands","FRO","-7.122044325","62.21228119","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"234","Faroe Islands","FRO","-7.122044325","62.21228119","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"238","Falkland Islands (Malvinas)","FLK","-58.75246778","-51.74562601","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"238","Falkland Islands (Malvinas)","FLK","-58.75246778","-51.74562601","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"238","Falkland Islands (Malvinas)","FLK","-58.75246778","-51.74562601","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"239","South Georgia and the South Sandwich Islands","SGS","-36.90662765","-54.20736749","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"239","South Georgia and the South Sandwich Islands","SGS","-36.90662765","-54.20736749","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"239","South Georgia and the South Sandwich Islands","SGS","-36.90662765","-54.20736749","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"242","Fiji","FJI","177.9660884","-17.83301566","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"242","Fiji","FJI","177.9660884","-17.83301566","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"242","Fiji","FJI","177.9660884","-17.83301566","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"246","Finland","FIN","23.308447","61.91586738","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"246","Finland","FIN","23.308447","61.91586738","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"246","Finland","FIN","23.308447","61.91586738","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"248","Åland Islands","ALA","19.80945969","60.1544901","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"248","Åland Islands","ALA","19.80945969","60.1544901","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"248","Åland Islands","ALA","19.80945969","60.1544901","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"250","France","FRA","2.457288129","46.62660861","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"250","France","FRA","2.457288129","46.62660861","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"250","France","FRA","2.457288129","46.62660861","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"254","French Guiana","GUF","-53.23619089","3.922673437","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"254","French Guiana","GUF","-53.23619089","3.922673437","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"254","French Guiana","GUF","-53.23619089","3.922673437","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"258","French Polynesia","PYF","-149.4052367","-17.67709294","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"258","French Polynesia","PYF","-149.4052367","-17.67709294","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"258","French Polynesia","PYF","-149.4052367","-17.67709294","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"260","French Southern Territories","ATF","69.64849091","-49.6068576","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"260","French Southern Territories","ATF","69.64849091","-49.6068576","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"260","French Southern Territories","ATF","69.64849091","-49.6068576","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"262","Djibouti","DJI","42.18274707","11.56004161","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"262","Djibouti","DJI","42.18274707","11.56004161","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"262","Djibouti","DJI","42.18274707","11.56004161","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"266","Gabon","GAB","11.78727747","-0.60687619","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"266","Gabon","GAB","11.78727747","-0.60687619","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"266","Gabon","GAB","11.78727747","-0.60687619","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"268","Georgia","GEO","43.3713615","42.04813028","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"268","Georgia","GEO","43.3713615","42.04813028","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
