series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Bounds	Units description	Bounds description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	231	39.63505296	8.631223181	ETH	Ethiopia	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	602	584	562	537	511	487	464	443	423	403	383	337	341	320	295	250	239	289	2016	239	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	231	39.63505296	8.631223181	ETH	Ethiopia	2	PER_100000_POP	MP	Per 100,000 population	P	421	409	393	376	358	341	325	310	296	282	268	253	239	224	207	192	177	207.8	2016	177	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	231	39.63505296	8.631223181	ETH	Ethiopia	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	273	265	255	243	232	220	210	201	192	183	173	182	154	145	134	142	125	140	2016	125	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	232	38.11074289	16.12894644	ERI	Eritrea	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	233	230	227	363	317	260	214	253	202	194	188	196	199	177	145	123	129	154.6	2016	129	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	232	38.11074289	16.12894644	ERI	Eritrea	2	PER_100000_POP	MP	Per 100,000 population	P	177	175	173	208	181	149	123	145	116	111	108	112	114	101	83	70	74	88.4	2016	74	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	232	38.11074289	16.12894644	ERI	Eritrea	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	129	127	126	95	83	68	56	66	53	51	50	52	52	47	38	32	34	40.6	2016	34	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	233	25.84093481	58.68487172	EST	Estonia	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	69	65	61	57	52	48	44	40	37	34	31	29	27	25	23	21	19	23	2016	19	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	233	25.84093481	58.68487172	EST	Estonia	2	PER_100000_POP	MP	Per 100,000 population	P	61	58	54	51	46	42	39	36	33	30	28	25	24	22	20	18	16	20	2016	16	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	233	25.84093481	58.68487172	EST	Estonia	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	53	50	48	44	40	37	34	31	29	26	24	22	21	19	18	15	14	17.4	2016	14	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	PER_100000_POP	UB	Per 100,000 population	Upper bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	234	-7.122044325	62.21228119	FRO	Faroe Islands	2	PER_100000_POP	MP	Per 100,000 population	P																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	234	-7.122044325	62.21228119	FRO	Faroe Islands	3	PER_100000_POP	LB	Per 100,000 population	Lower bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	PER_100000_POP	UB	Per 100,000 population	Upper bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	2	PER_100000_POP	MP	Per 100,000 population	P																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	3	PER_100000_POP	LB	Per 100,000 population	Lower bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	PER_100000_POP	UB	Per 100,000 population	Upper bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	2	PER_100000_POP	MP	Per 100,000 population	P																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	3	PER_100000_POP	LB	Per 100,000 population	Lower bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	242	177.9660884	-17.83301566	FJI	Fiji	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	28	36	29	36	26	25	22	18	20	27	35	39	38	46	67	64	75	58	2016	75	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	242	177.9660884	-17.83301566	FJI	Fiji	2	PER_100000_POP	MP	Per 100,000 population	P	22	28	23	28	20	20	17	14	16	21	27	31	30	36	53	51	59	45.8	2016	59	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	242	177.9660884	-17.83301566	FJI	Fiji	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	17	22	17	22	16	15	13	11	12	16	21	24	23	28	41	39	45	35.2	2016	45	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	246	23.308447	61.91586738	FIN	Finland	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	13	12	11	10	8.1	8.6	7	7.5	8.3	10	7.6	7.8	6.4	6.5	6.1	6.5	5.4	6.18	2016	5.4	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	246	23.308447	61.91586738	FIN	Finland	2	PER_100000_POP	MP	Per 100,000 population	P	12	10	9.9	8.7	7	7.4	6.1	6.5	7.2	8.7	6.6	6.7	5.5	5.6	5.3	5.6	4.7	5.34	2016	4.7	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	246	23.308447	61.91586738	FIN	Finland	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	10	8.7	8.5	7.4	6	6.3	5.2	5.6	6.1	7.4	5.6	5.8	4.7	4.8	4.5	4.8	4	4.56	2016	4	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	248	19.80945969	60.1544901	ALA	Åland Islands	1	PER_100000_POP	UB	Per 100,000 population	Upper bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	248	19.80945969	60.1544901	ALA	Åland Islands	2	PER_100000_POP	MP	Per 100,000 population	P																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	248	19.80945969	60.1544901	ALA	Åland Islands	3	PER_100000_POP	LB	Per 100,000 population	Lower bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	250	2.457288129	46.62660861	FRA	France	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	13	13	12	13	11	11	11	12	11	10	10	9.8	9.7	9.7	9.3	9.1	8.6	9.28	2016	8.6	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	250	2.457288129	46.62660861	FRA	France	2	PER_100000_POP	MP	Per 100,000 population	P	12	11	11	12	9.8	9.5	9.4	10	10	9.1	8.8	8.7	8.6	8.6	8.2	8.1	7.7	8.24	2016	7.7	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	250	2.457288129	46.62660861	FRA	France	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	10	9.9	9.7	10	8.6	8.3	8.3	9	8.9	8	7.8	7.6	7.5	7.5	7.2	7.1	6.7	7.2	2016	6.7	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	254	-53.23619089	3.922673437	GUF	French Guiana	1	PER_100000_POP	UB	Per 100,000 population	Upper bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	254	-53.23619089	3.922673437	GUF	French Guiana	2	PER_100000_POP	MP	Per 100,000 population	P																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	254	-53.23619089	3.922673437	GUF	French Guiana	3	PER_100000_POP	LB	Per 100,000 population	Lower bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	35	34	36	27	33	33	36	33	25	27	20	32	24	25	27	22	24	24.4	2016	24	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	258	-149.4052367	-17.67709294	PYF	French Polynesia	2	PER_100000_POP	MP	Per 100,000 population	P	30	30	31	24	28	28	31	28	22	23	18	27	21	22	23	19	20	21	2016	20	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	258	-149.4052367	-17.67709294	PYF	French Polynesia	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	26	25	27	20	24	24	26	24	19	20	15	23	18	19	20	16	18	18.2	2016	18	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	PER_100000_POP	UB	Per 100,000 population	Upper bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	260	69.64849091	-49.6068576	ATF	French Southern Territories	2	PER_100000_POP	MP	Per 100,000 population	P																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	260	69.64849091	-49.6068576	ATF	French Southern Territories	3	PER_100000_POP	LB	Per 100,000 population	Lower bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	262	42.18274707	11.56004161	DJI	Djibouti	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	875	906	676	673	603	628	598	624	707	715	775	673	623	558	385	458	423	489.4	2016	423	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	262	42.18274707	11.56004161	DJI	Djibouti	2	PER_100000_POP	MP	Per 100,000 population	P	692	716	535	532	477	496	473	493	559	565	613	532	493	441	304	362	335	387	2016	335	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	262	42.18274707	11.56004161	DJI	Djibouti	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	530	548	409	408	365	380	362	378	428	433	469	407	377	338	233	277	256	296.2	2016	256	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	266	11.78727747	-0.60687619	GAB	Gabon	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	735	783	819	843	852	845	823	790	751	712	676	647	574	537	560	604	646	584.2	2016	646	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	266	11.78727747	-0.60687619	GAB	Gabon	2	PER_100000_POP	MP	Per 100,000 population	P	515	548	574	590	596	592	576	553	526	499	473	453	436	423	444	465	485	450.6	2016	485	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	266	11.78727747	-0.60687619	GAB	Gabon	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	333	355	371	382	386	383	373	358	340	323	306	293	318	323	341	344	347	334.6	2016	347	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	268	43.3713615	42.04813028	GEO	Georgia	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	363	347	325	301	275	251	230	213	180	133	144	136	143	149	134	120	109	131	2016	109	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	268	43.3713615	42.04813028	GEO	Georgia	2	PER_100000_POP	MP	Per 100,000 population	P	254	243	228	210	192	175	161	149	140	133	127	122	119	116	106	99	92	106.4	2016	92	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	268	43.3713615	42.04813028	GEO	Georgia	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	164	157	147	136	125	114	104	97	105	132	111	109	97	87	81	80	77	84.4	2016	77	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	270	-15.39944785	13.45295927	GMB	Gambia	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	247	247	243	243	232	243	269	266	234	233	254	223	222	224	217	223	221	221.4	2016	221	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	270	-15.39944785	13.45295927	GMB	Gambia	2	PER_100000_POP	MP	Per 100,000 population	P	185	189	192	193	192	191	189	186	183	180	178	176	175	173	174	174	174	174	2016	174	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	270	-15.39944785	13.45295927	GMB	Gambia	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	132	140	146	148	156	145	122	120	138	134	115	135	133	129	136	131	132	132.2	2016	132	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	275	35.25694122	31.94347933	PSE	State of Palestine	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	4	3.2	2.4	1.7	1	1.2	1.8	1.4	1.6	1.4	1.2	1.2	1.2	1.3	1.5	1.4	1.3	1.34	2016	1.3	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	275	35.25694122	31.94347933	PSE	State of Palestine	2	PER_100000_POP	MP	Per 100,000 population	P	3.2	2.5	1.9	1.3	0.82	0.98	1.4	1.1	1.3	1.1	0.95	0.96	0.93	1.1	1.2	1.1	1	1.066	2016	1	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	275	35.25694122	31.94347933	PSE	State of Palestine	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	2.4	1.9	1.5	1	0.63	0.75	1.1	0.84	0.99	0.85	0.73	0.73	0.71	0.81	0.91	0.84	0.79	0.812	2016	0.79	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	276	10.3806066	51.08862743	DEU	Germany	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	15	11	11	11	10	9.3	8.4	7.6	6.8	6.8	6.7	6.7	6.6	6.9	7.1	9.2	9.3	7.82	2016	9.3	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	276	10.3806066	51.08862743	DEU	Germany	2	PER_100000_POP	MP	Per 100,000 population	P	13	9.8	9.8	9.9	8.7	8	7.3	6.6	5.9	5.9	5.8	5.8	5.7	5.9	6.1	8	8.1	6.76	2016	8.1	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	276	10.3806066	51.08862743	DEU	Germany	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	11	8.4	8.4	8.5	7.5	6.9	6.2	5.6	5	5.1	4.9	4.9	4.9	5.1	5.2	6.8	6.9	5.78	2016	6.9	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	288	-1.205623522	7.964825185	GHA	Ghana	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	369	364	359	353	347	341	335	328	321	315	308	300	293	286	281	273	265	279.6	2016	265	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	288	-1.205623522	7.964825185	GHA	Ghana	2	PER_100000_POP	MP	Per 100,000 population	P	216	214	212	209	206	203	199	196	191	187	183	178	173	168	165	160	156	164.4	2016	156	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	288	-1.205623522	7.964825185	GHA	Ghana	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	103	103	103	103	102	100	99	97	95	92	90	87	84	81	80	77	75	79.4	2016	75	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	PER_100000_POP	UB	Per 100,000 population	Upper bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	292	-5.347561686	36.13895036	GIB	Gibraltar	2	PER_100000_POP	MP	Per 100,000 population	P																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	292	-5.347561686	36.13895036	GIB	Gibraltar	3	PER_100000_POP	LB	Per 100,000 population	Lower bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	296	-157.5643005	1.768837732	KIR	Kiribati	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	472	348	355	505	541	569	634	548	538	437	441	518	513	593	593	698	716	622.6	2016	716	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	296	-157.5643005	1.768837732	KIR	Kiribati	2	PER_100000_POP	MP	Per 100,000 population	P	373	275	281	399	428	449	501	433	425	346	348	410	406	469	469	552	566	492.4	2016	566	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	296	-157.5643005	1.768837732	KIR	Kiribati	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	286	211	215	306	328	344	384	332	326	265	267	314	311	359	359	422	433	376.8	2016	433	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	300	22.58307827	39.47301873	GRC	Greece	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	8.4	6	6.8	7	8.7	8.1	7.2	7.2	6.8	6.3	5.1	5.3	6	5.8	5.7	5.2	5.1	5.56	2016	5.1	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	300	22.58307827	39.47301873	GRC	Greece	2	PER_100000_POP	MP	Per 100,000 population	P	7.3	5.2	5.8	6.1	7.5	7.1	6.3	6.2	5.9	5.4	4.5	4.6	5.2	5	4.9	4.5	4.4	4.8	2016	4.4	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	300	22.58307827	39.47301873	GRC	Greece	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	6.2	4.4	5	5.2	6.4	6	5.4	5.3	5	4.7	3.8	3.9	4.5	4.3	4.2	3.8	3.7	4.1	2016	3.7	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	304	-41.39371316	74.75625681	GRL	Greenland	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	150	155	159	163	168	172	176	181	185	148	267	270	198	226	205	191	137	191.4	2016	137	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	304	-41.39371316	74.75625681	GRL	Greenland	2	PER_100000_POP	MP	Per 100,000 population	P	130	134	138	141	145	149	153	156	160	128	231	234	171	196	177	165	118	165.4	2016	118	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	304	-41.39371316	74.75625681	GRL	Greenland	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	111	115	118	121	124	127	131	134	137	109	198	200	146	167	152	141	101	141.4	2016	101	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	308	-61.68248568	12.11238395	GRD	Grenada	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	0	0.65	1.3	2.6	2.6	1.9	1.3	3.8	6.4	6.4	5.1	2.5	1.3	0.63	0	6.2	7.4	3.106	2016	7.4	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	308	-61.68248568	12.11238395	GRD	Grenada	2	PER_100000_POP	MP	Per 100,000 population	P	0	0.56	1.1	2.2	2.2	1.7	1.1	3.3	5.5	5.5	4.4	2.2	1.1	0.55	0	5.4	6.4	2.69	2016	6.4	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	308	-61.68248568	12.11238395	GRD	Grenada	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	0	0.48	0.96	1.9	1.9	1.4	0.95	2.8	4.7	4.7	3.8	1.9	0.93	0.47	0	4.6	5.5	2.3	2016	5.5	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	PER_100000_POP	UB	Per 100,000 population	Upper bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	312	-61.64762115	16.14416917	GLP	Guadeloupe	2	PER_100000_POP	MP	Per 100,000 population	P																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	312	-61.64762115	16.14416917	GLP	Guadeloupe	3	PER_100000_POP	LB	Per 100,000 population	Lower bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	316	144.7029305	13.35485404	GUM	Guam	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	46	54	43	19	42	53	37	44	74	85	84	68	56	40	46	62	61	53	2016	61	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	316	144.7029305	13.35485404	GUM	Guam	2	PER_100000_POP	MP	Per 100,000 population	P	40	46	37	16	36	46	32	38	64	74	73	59	49	34	40	54	53	46	2016	53	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	316	144.7029305	13.35485404	GUM	Guam	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	34	40	32	14	31	39	27	33	55	63	62	51	42	29	34	46	45	39.2	2016	45	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	320	-91.2312746	15.00273719	GTM	Guatemala	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	40	32	38	33	41	46	43	36	37	32	36	32	36	34	31	32	31	32.8	2016	31	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	320	-91.2312746	15.00273719	GTM	Guatemala	2	PER_100000_POP	MP	Per 100,000 population	P	31	25	30	26	32	36	34	29	29	25	28	25	28	27	25	26	24	26	2016	24	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	320	-91.2312746	15.00273719	GTM	Guatemala	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	24	19	23	20	25	28	26	22	22	19	22	19	22	20	19	20	19	20	2016	19	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	324	-11.28173419	11.00210343	GIN	Guinea	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	326	320	315	311	306	300	294	286	279	272	266	261	257	253	253	252	252	253.4	2016	252	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	324	-11.28173419	11.00210343	GIN	Guinea	2	PER_100000_POP	MP	Per 100,000 population	P	228	224	221	218	214	210	206	200	195	190	186	183	180	177	177	177	176	177.4	2016	176	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	324	-11.28173419	11.00210343	GIN	Guinea	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	148	145	143	141	139	136	133	130	126	123	120	118	116	115	114	114	114	114.6	2016	114	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
