series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	268	43.3713615	42.04813028	GEO	Georgia	1	PERCENT	Percentage								8.09	10.32	12.89	6.74	6.79	6.67	6.22	7	6.96	8.1	8.68	8.32	10.32	10.17	10.72	11.17	12.05	12.03	10.42	10.58	11.25	2016	10.58	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	270	-15.39944785	13.45295927	GMB	Gambia	1	PERCENT	Percentage														11.1	10.5	9.5	9.74	6.97	6.71	8.86	12.16	10.17	11.69	12.22	16.53	14.98	21.5	15.384	2016	21.5	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	275	35.25694122	31.94347933	PSE	State of Palestine	1	PERCENT	Percentage						17.73	15.91	16.58	26.02	25.67	20.03	20.12	21.7	7.81	9.21	7.83	9.45	10.87	11.1	10.39	10.4	10.91	15.4	12.01	14.19	14.41	14.61	14.124	2016	14.61	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	276	10.3806066	51.08862743	DEU	Germany	1	PERCENT	Percentage	0.28	0.26	0.23	0.21	0.2	0.17	0.17	0.17	0.17	0.17	0.18	0.2	0.22	0.23	0.23	0.24	0.25	0.28	0.29	0.36	0.37	0.41	0.41	0.44	0.45	0.48	0.48	0.452	2016	0.48	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	288	-1.205623522	7.964825185	GHA	Ghana	1	PERCENT	Percentage	0.1	0.09	0.11	0.17	0.29	0.27	0.4	0.38	0.39	0.4	0.65	0.86	0.71	0.85	0.93	0.92	0.52	0.47	0.44	0.44	0.42	5.4	5.14	3.9	5.2	13.27	6.98	6.898	2016	6.98	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	296	-157.5643005	1.768837732	KIR	Kiribati	1	PERCENT	Percentage	12.92	12.75	12.62	13	12.58												11.97	10.66	10.33	10.77	10.21	9.61	9.38	9.19	9.38	9.52	9.63	9.42	2016	9.63	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	300	22.58307827	39.47301873	GRC	Greece	1	PERCENT	Percentage	1.86	2.07	2.18	2.44	2.48	2.4	2.11	2.14	1.85	1.6	1.69	1.48	1.08	0.77	0.52	0.49	0.56	0.78	0.76	0.61	0.5	0.41	0.28	0.34	0.31	0.22	0.17	0.264	2016	0.17	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	304	-41.39371316	74.75625681	GRL	Greenland	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	308	-61.68248568	12.11238395	GRD	Grenada	1	PERCENT	Percentage	6.46	2.75	2.77	5.93	8.05	5.8	5.71	5.49	4.95	4.8	4.66	4.67	4.58	4.28	8.03	3.86	4.07	3.77	3.49	3.59	3.69	3.72	3.66	3.52	4.48	4.34	0.11	3.222	2016	0.11	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	316	144.7029305	13.35485404	GUM	Guam	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	320	-91.2312746	15.00273719	GTM	Guatemala	1	PERCENT	Percentage	1.55	1.9	2.21	2.11	2.19	2.44	2.39	2.29	2.35	2.54	3.09	3.39	7.7	9.8	10.96	11.27	12.24	12.42	11.4	10.65	10.24	9.49	9.98	9.99	9.94	10.31	10.87	10.218	2016	10.87	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	324	-11.28173419	11.00210343	GIN	Guinea	1	PERCENT	Percentage	0.67	0.45	0.28	0.15	0.01	0.02	0.03	0.04	0.14	0.17	0.04	0.31	0.51	3.22	1.14	1.42	0.7	0.24	0.88	0.77	0.67	0.95	0.9	1.11	1.38	1.49	0.64	1.104	2016	0.64	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	328	-58.97322037	4.788012784	GUY	Guyana	1	PERCENT	Percentage			0.28	0.27	0.25	0.27	2.07	2	1.95	2.95	3.83	3.2	7.06	13.38	19.47	24.4	14.95	16	14.25	12.71	16.18	16	16.4	10.98	10.71	9.18	8.38	11.13	2016	8.38	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	332	-72.33640958	18.40426539	HTI	Haiti	1	PERCENT	Percentage									8.79	10.16	14.62	17.34	19.46	27.4	26.33	22.88	22.35	20.77	20.92	20.89	22.25	20.64	20.43	21.07	22.53	25.17	29.4	23.72	2016	29.4	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	336	12.45315803	41.90343751	VAT	Holy See	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	340	-86.59974381	14.82243161	HND	Honduras	1	PERCENT	Percentage	2.06	2.69	3.28	1.83	2.59	3.17	3.9	4.07	4.33	6.11	6.68	8.07	10.31	10.63	13.33	18.66	21.56	21.29	20.46	16.98	16.53	15.87	15.76	16.75	17.06	17.59	17.96	17.024	2016	17.96	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	PERCENT	Percentage									0.09	0.08	0.08	0.09	0.07	0.07	0.14	0.16	0.15	0.15	0.16	0.16	0.15	0.14	0.14	0.13	0.13	0.12	0.12	0.128	2016	0.12	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	348	19.41221519	47.1651448	HUN	Hungary	1	PERCENT	Percentage						0.3	0.33	0.41	0.39	0.37	0.47	0.45	0.34	0.29	1.61	1.69	1.8	1.65	1.6	1.34	1.58	1.98	2.76	3.4	3.4	3.63	3.7	3.378	2016	3.7	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	352	-19.02116966	64.79134763	ISL	Iceland	1	PERCENT	Percentage	0.95	0.94	0.89	0.92	0.74	0.5	0.44	0.54	0.34	0.35	0.4	0.48	0.7	0.43	0.44	0.39	0.47	0.52	0.68	0.73	1.02	1.03	1.08	1.31	1.24	1.24	1	1.174	2016	1	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	356	79.3608464	22.34642074	IND	India	1	PERCENT	Percentage	0.75	1.23	1.02	1.28	1.81	1.75	2.26	2.52	2.28	2.46	2.79	2.98	3.1	3.5	2.68	2.74	3.08	3.1	4.21	3.72	3.23	3.43	3.77	3.77	3.46	3.3	2.77	3.414	2016	2.77	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	360	113.9174	-0.994582204	IDN	Indonesia	1	PERCENT	Percentage	0.15	0.1	0.17	0.21	0.24	0.3	0.33	0.32	0.94	0.74	0.68	0.61	0.6	0.6	0.68	1.78	1.47	1.34	1.25	1.18	0.92	0.78	0.79	0.83	0.96	1.12	0.95	0.93	2016	0.95	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	PERCENT	Percentage				2.35	1.67	1.66	0.55	0.35	0.62	0.45	0.49	0.54	0.66	0.77	0.54	0.46	0.39	0.32	0.27	0.26	0.24	0.23	0.22	0.28	0.31	0.34	0.32	0.294	2016	0.32	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	368	43.76606267	33.05013795	IRQ	Iraq	1	PERCENT	Percentage																1.42	0.6	0	0.05	0.14	0.13	0.12	0.12	0.31	0.31	0.56	0.58	0.376	2016	0.58	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	372	-7.121425272	53.25274054	IRL	Ireland	1	PERCENT	Percentage	0.58	0.56	0.58	0.57	0.57	0.5	0.48	0.38	0.3	0.3	0.25	0.22	0.25	0.21	0.21	0.24	0.23	0.22	0.23	0.24	0.3	0.32	0.31	0.3	0.28	0.21	0.19	0.258	2016	0.19	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	376	34.62277992	31.06164552	ISR	Israel	1	PERCENT	Percentage	1.38	1.3	1.54	1.66	1.86	0.18	0.14	0.17	0.12	0.15	0.14	0.15	0.14	0.13	0.22	0.26	0.32	0.32	0.29	0.24	0.24	0.23	0.27	0.26	0.28	0.29	0.3	0.28	2016	0.3	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	380	12.57022427	42.79917282	ITA	Italy	1	PERCENT	Percentage	0.43	0.3	0.23	0.25	0.22	0.19	0.19	0.18	0.16	0.15	0.16	0.17	0.18	0.19	0.2	0.22	0.21	0.21	0.31	0.32	0.38	0.38	0.44	0.44	0.47	0.52	0.51	0.476	2016	0.51	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	384	-5.552690016	7.62211586	CIV	Côte d'Ivoire	1	PERCENT	Percentage	0.41	0.4	0.44	0.52	1.33	1.37	1.21	1.16	1.13	1.11	1.11	1.04	0.97	0.93	0.96	0.96	0.94	0.91	0.82	1.3	1.5	1.56	1.36	1.23	1.09	1.01	0.94	1.126	2016	0.94	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	388	-77.31068409	18.15616857	JAM	Jamaica	1	PERCENT	Percentage	4.98	4.45	6.11	4.92	10.64	11.06	10.61	9.6	8.51	8.81	9.83	11.52	12.81	14.68	15.77	15.72	16.16	16.55	15.77	15.7	15.36	14.58	14.65	15.21	16.32	16.64	17.31	16.026	2016	17.31	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	392	139.2716103	36.6554539	JPN	Japan	1	PERCENT	Percentage		0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.03	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.05	0.08	0.08	0.08	0.066	2016	0.08	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	398	66.65359159	48.01963494	KAZ	Kazakhstan	1	PERCENT	Percentage						0.57	0.01	0.01	0.03	0.02	0.37	0.38	0.45	0.14	0.13	0.11	0.1	0.14	0.09	0.17	0.15	0.09	0.09	0.09	0.1	0.11	0.2	0.118	2016	0.2	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	400	37.13024774	30.65365973	JOR	Jordan	1	PERCENT	Percentage	12	10.31	15.88	18.55	17.54	18.49	22.29	22.84	19.5	20.42	21.81	22.41	22.28	21.59	20.05	19.23	18.56	19.44	15.98	14.55	13.71	12.77	12.44	15.9	17.78	14.26	11.32	14.34	2016	11.32	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	404	37.86096816	0.534797278	KEN	Kenya	1	PERCENT	Percentage	1.62	1.52	1.4	2.05	1.92	0.97	0.73	3.86	3.77	4.54	4.23	0.39	0.43	0.44	2.33	2.27	2.21	2.02	1.86	1.71	1.71	2.23	2.4	2.37	2.34	2.46	2.47	2.408	2016	2.47	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	408	127.1803633	40.1462645	PRK	Democratic People's Republic of Korea	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	410	127.8610254	36.45201023	KOR	Republic of Korea	1	PERCENT	Percentage	0.86	0.82	0.84	0.75	0.68	0.59	0.56	0.7	1.32	0.89	0.8	0.84	0.84	0.86	0.77	0.58	0.48	0.46	0.69	0.66	0.53	0.55	0.54	0.49	0.46	0.47	0.45	0.482	2016	0.45	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	414	47.49305029	29.53949468	KWT	Kuwait	1	PERCENT	Percentage																					0	0	0	0	0	0.03	0	0.006	2016	0	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	417	74.52324839	41.46204516	KGZ	Kyrgyzstan	1	PERCENT	Percentage				0.09	0.06	0.07	0.13	0.15	0.13	0.09	0.16	0.3	1.89	3.66	8.1	12.73	16.69	18.51	23.8	20.94	26.41	27.57	30.75	31.06	30.03	25.27	30.45	29.512	2016	30.45	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	418	101.9901968	20.27482773	LAO	Lao People's Democratic Republic	1	PERCENT	Percentage	1.26	1.01	0.96	0.91	0.65	0.02	0.03	0.03	0.05	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.12	0.15	0.33	0.64	0.59	1.26	0.57	0.5	0.3	0.65	0.74	0.552	2016	0.74	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	422	35.89391711	33.92152458	LBN	Lebanon	1	PERCENT	Percentage													13.29	23.62	26.68	23.13	23.87	23.47	24.57	21.3	18	17.16	15.21	16.44	15.03	15.13	15.35	15.432	2016	15.35	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	426	28.25362195	-29.58041814	LSO	Lesotho	1	PERCENT	Percentage	71.74	62.06	54.8	47.96	36.4	40.98	40.97	37.95	31.73	30.23	53.83	48.6	50.1	48.1	41.5	35.63	34.1	35.05	30.78	29.36	25.57	23.29	20.7	18.33	15.03	14.8	15	16.772	2016	15	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	428	26.42461876	56.64196636	LVA	Latvia	1	PERCENT	Percentage							0.68	0.7	0.69	0.65	3.18	3.28	1.18	1.34	1.52	2.24	2.24	1.78	5.39	6.06	5.29	5.33	5.33	5.29	4.91	4.91	4.45	4.978	2016	4.45	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	430	-9.311879038	6.448381009	LBR	Liberia	1	PERCENT	Percentage															12.31	5.79	13.05	8.39	6.84	2.17	2.43	23.29	29.72	19.7	25.12	31.5	26.12	26.432	2016	26.12	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	434	18.0295985	27.04042819	LBY	Libya	1	PERCENT	Percentage											0.02	0.03	0.03	0.03	0.03	0.03	0.03												2006	0.03	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	438	9.552985019	47.14167005	LIE	Liechtenstein	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	440	23.90517807	55.33680309	LTU	Lithuania	1	PERCENT	Percentage						0.01	0.03	0.03	0.03	0.03	0.43	0.65	0.77	0.61	2.55	2.85	3.29	3.61	3.27	3.31	4.51	4.49	3.52	4.43	4.35	3.31	2.99	3.72	2016	2.99	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	442	6.092656563	49.77679538	LUX	Luxembourg	1	PERCENT	Percentage						3.38	3.26	3.29	3.25	2.93	2.72	2.71	3.5	3.54	3.39	3.21	3.18	2.89	2.92	3.23	3.11	2.95	2.97	3.05	2.81	2.82	2.93	2.916	2016	2.93	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	446	113.5665388	22.1237259	MAC	China, Macao Special Administrative Region	1	PERCENT	Percentage													0.64	0.58	0.5	0.44	0.38	0.3	0.25	0.23	0.17	0.13	0.11	0.09	0.07	0.09	0.06	0.084	2016	0.06	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	450	46.6982339	-19.38514785	MDG	Madagascar	1	PERCENT	Percentage	0.26	0.49	0.5	0.4	0.43	0.29	0.16	0.34	0.31	0.31	0.29	0.24	0.67	0.3	0.26	1.7	2.28	2.91	2.79	2.78	4.38	2.84	2.78	2.8	2.68	2.79	2.5	2.71	2016	2.5	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	454	33.4884625	-13.40819859	MWI	Malawi	1	PERCENT	Percentage					0.06	0.04	0.03	0.03	0.04	0.04	0.04	0.04	0.02	0.43	0.53	0.62	0.37	0.47	0.31	0.27	0.31	0.32	0.47	0.62	0.64	0.54	0.63	0.58	2016	0.63	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	458	116.8346314	5.452415309	MYS	Malaysia	1	PERCENT	Percentage	0.42	0.26	0.26	0.26	0.16	0.13	0.16	0.19	0.26	0.41	0.37	0.4	0.43	0.52	0.64	0.78	0.84	0.8	0.58	0.56	0.43	0.41	0.41	0.44	0.47	0.55	0.53	0.48	2016	0.53	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	462	73.09672546	-0.614385021	MDV	Maldives	1	PERCENT	Percentage	0.79	0.74	0.56	0.4	0.61	0.59	0.6	0.48	0.45	0.37	0.35	0.21	0.22	0.19	0.24	0.19	0.18	0.42	0.28	0.19	0.12	0.11	0.11	0.1	0.09	0.09	0.09	0.096	2016	0.09	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	466	-3.522016039	17.35311254	MLI	Mali	1	PERCENT	Percentage	3.99	3.41	4.12	4.46	4.96	4.14	3.98	3.4	2.89	2.51	2.48	2.54	3.54	3.27	2.86	2.84	3.07	4.22	4.42	4.46	4.43	6.04	6.65	6.75	6.4	7.02	6.67	6.698	2016	6.67	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	470	14.44617519	35.89194275	MLT	Malta	1	PERCENT	Percentage	2.29	1.53	1.01	0.94	0.79	0.44	0.37	0.25	0.33	0.49	0.41	0.3	0.45	0.47	5.26	3.47	3.09	2.91	2.95	3.05	2.63	2.39	2.17	2.42	2.25	2.19	1.99	2.204	2016	1.99	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	474	-60.91544135	14.56086108	MTQ	Martinique	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	478	-10.33187259	20.26089546	MRT	Mauritania	1	PERCENT	Percentage	1.34	0.81	3.42	0.18	0.37	0.38	0.3	0.19	0.16																				1998	0.16	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	480	57.568022	-20.28581998	MUS	Mauritius	1	PERCENT	Percentage					3.32	3.27	3.62	4.01	4.32	4.15	3.86	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0.01	0.01	0.01	0.008	2016	0.01	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	484	-102.5148166	23.93378032	MEX	Mexico	1	PERCENT	Percentage	1.18	0.96	1.02	0.79	0.78	1.27	1.25	1.15	1.3	1.15	1.1	1.4	1.49	2.33	2.58	2.63	2.75	2.58	2.36	2.47	2.1	2	1.96	1.84	1.91	2.28	2.74	2.146	2016	2.74	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	492	7.424214814	43.73532918	MCO	Monaco	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	496	103.0728057	46.83892054	MNG	Mongolia	1	PERCENT	Percentage									0.49	0.74	0.1	2.1	4.92	4.97	10.17	7.01	4.55	4.2	3.99	4.35	3.7	2.4	2.63	2.04	2.09	2.22	2.32	2.26	2016	2.32	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	498	28.4650624	47.20236795	MDA	Republic of Moldova	1	PERCENT	Percentage						0.06	5.14	5.92	7.45	9.43	13.78	16.36	19.41	24.43	26.99	30.62	34.5	33.88	31.18	24.86	30.16	25.85	27.27	27.44	26	23.65	21.69	25.21	2016	21.69	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	499	19.25214024	42.78717043	MNE	Montenegro	1	PERCENT	Percentage																		5.35	6.56	7.28	8.1	8.85	9.73	9.48	9.4	9.41	9.06	9.416	2016	9.06	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	500	-62.19261223	16.73558313	MSR	Montserrat	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	504	-6.281942841	31.8440131	MAR	Morocco	1	PERCENT	Percentage	6.65	6.16	6.44	6.19	5.13	5.05	5.02	4.84	4.81	4.66	5.56	8.26	6.81	6.94	7.08	7.36	7.94	8.52	7.45	6.75	6.89	7.16	6.62	6.44	7.08	6.82	6.84	6.76	2016	6.84	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	508	38.18479941	-14.27963886	MOZ	Mozambique	1	PERCENT	Percentage	2.8	1.7	2.53	2.49	2.23	2.34	1.73	1.5	0.95	0.72	0.73	0.88	1.04	1.24	0.84	0.76	0.96	1.06	1.01	1.02	1.14	0.99	1.2	0.95	0.92	0.97	0.85	0.978	2016	0.85	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	512	57.87743482	21.98805614	OMN	Oman	1	PERCENT	Percentage	0.33	0.34	0.31	0.31	0.3	0.28	0.26	0.25	0.28	0.25	0.2	0.2	0.19	0.18	0.16	0.13	0.1	0.09	0.06	0.08	0.07	0.06	0.05	0.05	0.05	0.06	0.06	0.054	2016	0.06	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	516	17.21907885	-22.13817068	NAM	Namibia	1	PERCENT	Percentage	0.48	0.46	0.46	0.45	0.41	0.4	0.34	0.32	0.29	0.26	0.23	0.24	0.22	0.24	0.22	0.24	0.21	0.18	0.16	0.87	0.61	0.64	0.61	0.51	0.63	0.41	0.61	0.554	2016	0.61	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	520	166.92313	-0.528742623	NRU	Nauru	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	524	83.94678863	28.25866332	NPL	Nepal	1	PERCENT	Percentage				1.5	1.23	1.29	0.98	1.01	1.39	1.66	2.03	2.45	11.21	12.18	11.31	14.91	16.07	16.79	21.74	23.21	21.65	22.3	25.43	29	29.44	31.43	31.29	29.318	2016	31.29	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	528	5.331480568	51.86728884	NLD	Netherlands	1	PERCENT	Percentage	0.23	0.21	0.22	0.26	0.26	0.15	0.16	0.16	0.15	0.11	0.1	0.11	0.1	0.2	0.2	0.19	0.21	0.19	0.18	0.2	0.21	0.2	0.2	0.19	0.17	0.17	0.17	0.18	2016	0.17	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	530	-68.30676179	12.22720635	ANT	Netherlands Antilles	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	531	-68.95033464	12.15058042	CUW	Curaçao	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	533	-69.97050586	12.50878756	ABW	Aruba	1	PERCENT	Percentage					0.29	0.1	0.12	0.12	0.1	0.04	0.06	0.07	0.07	0.01	0.07	0.04	0.04	0.2	0.24	0.36	0.2	0.21							2011	0.21	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	534	-63.06198692	18.03926508	SXM	Sint Maarten (Dutch part)	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	540	165.5067368	-21.41742531	NCL	New Caledonia	1	PERCENT	Percentage																																
