"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Cities_Code","Cities_Desc","ReportingType_Code","ReportingType_Desc","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"891","Serbia and Montenegro [former]","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"910","High income economies (WB)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"911","Low income economies (WB)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"912","Lower middle economies (WB)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"913","Low and middle income economies (WB)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"914","Upper middle economies (WB)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"917","International Centers (FAO)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"918","European Union (EU) Institutions","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"919","Regional Centres (FAO)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"920","Azores Islands","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"921","ODA residual","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
