"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_1995.0","Value_1996.0","Value_1997.0","Value_1998.0","Value_1999.0","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"722","Small island developing States (SIDS)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","0","0","0","0","0","0","0","0.00255","0.00536","0.00501","0.00214","0.00126","0.09963","0","0","0","0","0","0.32573","0","0",2015.0,"0","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"738","Sub-Saharan Africa (inc. Sudan)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"746","Northern Africa (exc. Sudan)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"747","Northern Africa and Western Asia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","48.81891","33.96221","43.31704","36.98969","38.20652","32.68854","12.38625","13.39501","10.44898","5.14736","4.71913","6.03641","7.36384","9.29656","7.68789","5.97318","16.1825","0.79755","1.059","1.81525","1.13315",2015.0,"1.13315","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"753","Eastern and South-Eastern Asia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","16.62621","9.18339","7.75874","2.56879","12.61759","16.88834","20.13951","21.26149","20.64427","22.35185","28.21944","30.47789","31.20772","29.67206","31.12152","34.0726","32.0042","32.81044","28.35997","0","0",2015.0,"0","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"827","United Kingdom (England and Wales)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"828","United Kingdom (Northern Ireland)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"829","United Kingdom (Scotland)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"830","Channel Islands","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"891","Serbia and Montenegro [former]","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"910","High income economies (WB)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"911","Low income economies (WB)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"912","Lower middle economies (WB)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"913","Low and middle income economies (WB)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"914","Upper middle economies (WB)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"917","International Centers (FAO)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"918","European Union (EU) Institutions","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"919","Regional Centres (FAO)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"920","Azores Islands","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"921","ODA residual","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
