ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Age_Code,Age_Desc,Sex_Code,Sex_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2000,Footnotes_2001,Footnotes_2002,Footnotes_2003,Footnotes_2004,Footnotes_2005,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Footnotes_2017,Footnotes_2018,Nature_Code_2000,Nature_Code_2001,Nature_Code_2002,Nature_Code_2003,Nature_Code_2004,Nature_Code_2005,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Nature_Code_2017,Nature_Code_2018,Source_2000,Source_2001,Source_2002,Source_2003,Source_2004,Source_2005,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,Source_2017,Source_2018,TimeDetail_2000,TimeDetail_2001,TimeDetail_2002,TimeDetail_2003,TimeDetail_2004,TimeDetail_2005,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,TimeDetail_2017,TimeDetail_2018,Value_2000,Value_2001,Value_2002,Value_2003,Value_2004,Value_2005,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Value_2017,Value_2018,Latest_Year,Latest_Value
KEN,37.86096816,0.534797278,404,Kenya,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,Figures by method do not add up to the total.,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,,C,C,C,,,,,,Kenya 2003 Demographic and Health Survey,,,,,,Kenya 2008-2009 Demographic and Health Survey,,,,,Kenya 2014 Demographic and Health Survey,Kenya 2015 PMA Round 4,Kenya 2016 PMA Round 5,,,,,,,,,,,,,,,,,,,,,,,,,47.2,,,,,,55.4,,,,,70.5,76.2,77.6,,,2016.0,77.6
PRK,127.1803633,40.1462645,408,Democratic People's Republic of Korea,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,Data pertain to a non-standard age or marital status group. Figures by method do not add up to the total.,,,,Data pertain to a non-standard age or marital status group. Figures by method do not add up to the total.,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,Democratic People's Republic of Korea 2010 Reproductive Health Survey,,,,Democratic People's Republic of Korea 2014 Socio Economic Demographic Health Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7,,,,89.8,,,,,2014.0,89.8
KGZ,74.52324839,41.46204516,417,Kyrgyzstan,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,Kyrgyzstan 2012 Demographic and Health Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1,,,,,,,2012.0,62.1
LAO,101.9901968,20.27482773,418,Lao People's Democratic Republic,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,Data pertain to a non-standard definition of unmet need for family planning. Figures by method do not add up to the total.,,,,,,,,,,,,,,,,,,,C,,,,,C,,,,,,,C,,,,,,,Lao People's Democratic Republic 2000 Reproductive Health Survey,,,,,Lao People's Democratic Republic 2005 Reproductive Health Survey,,,,,,,Lao People's Democratic Republic 2011-2012 Social Indicator Survey (MICS/DHS),,,,,,,,,,,,,,,,,,,,,,,,,,40.3,,,,,53.3,,,,,,,61.3,,,,,,,2012.0,61.3
,,,419,Latin America and the Caribbean,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",E,,,,,E,,,,,E,,,,,E,,,E,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,,,,,,,,,,,,,,,,76.3,,,,,79.4,,,,,81.6,,,,,82.6,,,82.8,2018.0,82.8
LSO,28.25362195,-29.58041814,426,Lesotho,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,,,C,,,,,,,,,,Lesotho 2004 Demographic and Health Survey,,,,,Lesotho 2009 Demographic and Health Survey,,,,Lesotho 2014 Demographic and Health Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,,,,,64.9,,,,76.1,,,,,2014.0,76.1
LBR,-9.311879038,6.448381009,430,Liberia,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,,,,,,,,,,Liberia 2007 Demographic and Health Survey,,,,,,Liberia 2013 Demographic and Health Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,,,,,,37.2,,,,,,2013.0,37.2
,,,432,Landlocked developing countries (LLDCs),3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",E,,,,,E,,,,,E,,,,,E,,,E,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,,,,,,,,,,,,,,,,42.3,,,,,47.5,,,,,53.7,,,,,59.3,,,61.5,2018.0,61.5
LBY,18.0295985,27.04042819,434,Libya,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,Data pertain to a non-standard definition of unmet need for family planning.,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,Libya 2007 Family Health Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,,,,,,,,,,,,2007.0,29.6
MDG,46.6982339,-19.38514785,450,Madagascar,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,,,,Madagascar 2003-2004 Demographic and Health Survey,,,,,Madagascar 2008-2009 Demographic and Health Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,49.6,,,,,,,,,,2009.0,49.6
MWI,33.4884625,-13.40819859,454,Malawi,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,"Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception.",,,,,C,,,,,C,,,,,C,,,,C,,C,,,Malawi 2000 Demographic and Health Survey,,,,,Malawi 2004 Demographic and Health Survey,,,,,Malawi 2010 Demographic and Health Survey,,,,Malawi 2013-2014 Multiple Indicator Cluster Survey,,Malawi 2015-2016 Demographic and Health Survey,,,,,,,,,,,,,,,,,,,,,,43.1,,,,,44.7,,,,,58.4,,,,73.6,,74.6,,,2016.0,74.6
MDV,73.09672546,-0.614385021,462,Maldives,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,Maldives 2009 Demographic and Health Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,,,,,,,,,2009.0,42.7
MLI,-3.522016039,17.35311254,466,Mali,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,Figures by method do not add up to the total.,,,,,C,,,,,C,,,,,,,C,,C,,,,,Mali 2001 Demographic and Health Survey,,,,,Mali 2006 Demographic and Health Survey,,,,,,,Mali 2012-2013 Demographic and Health Survey,,Mali 2015 Multiple Indicator Cluster Survey,,,,,,,,,,,,,,,,,,,,,,,,18.3,,,,,19.3,,,,,,,27.3,,46.0,,,,2015.0,46.0
MRT,-10.33187259,20.26089546,478,Mauritania,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,Figures by method do not add up to the total.,,,,,C,,,,,,,,,,C,,,,C,,,,,Mauritania 2000-2001 Demographic and Health Survey,,,,,,,,,,Mauritania 2011 Multiple Indicator Cluster Survey,,,,Mauritania 2015 Multiple Indicator Cluster Survey,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,23.8,,,,30.4,,,,2015.0,30.4
MUS,57.568022,-20.28581998,480,Mauritius,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,Adjusted. Data pertain to a non-standard definition of unmet need for family planning.,,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,C,,,,,,,Mauritius 2002 Contraceptive Prevalence Survey of Mauritius and Rodrigues Islands,,,,,,,,,,,,Mauritius 2014 Contraceptive Prevalence Survey,,,,,,,,,,,,,,,,,,,,,,,,,,49.6,,,,,,,,,,,,41.9,,,,,2014.0,41.9
MEX,-102.5148166,23.93378032,484,Mexico,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,Data pertain to a non-standard definition of unmet need for family planning.,,,Data pertain to a non-standard definition of unmet need for family planning.,,,,,,,,,Figures by method do not add up to the total.,,,,,,,C,,,C,,,C,,,,,,C,,,,,,,Mexico 2003 Encuesta Nacional de Salud Reproductiva,,,Mexico 2006 Encuesta Nacional de la Dinámica Demográfica,,,Mexico 2009 Encuesta Nacional de la Dinámica Demográfica,,,,,,"Mexico 2015 Encuesta Nacional de Niños, Niñas y Mujeres",,,,,,,,,,,,,,,,,,,,,,,,,,82.1,,,80.2,,,81.9,,,,,,80.9,,,,2015.0,80.9
MNG,103.0728057,46.83892054,496,Mongolia,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,Data pertain to a non-standard definition of unmet need for family planning.,,,,,Data pertain to a non-standard definition of unmet need for family planning. Figures by method do not add up to the total.,,"Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception.",,,"Figures by method do not add up to the total. Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception.",,,,,,,,,C,,,,,C,,C,,,C,,,,,,,,,Mongolia 2003 Reproductive Health Survey,,,,,Mongolia 2008 Reproductive Health Survey,,Mongolia 2010 Multiple Indicator Cluster Survey,,,Mongolia 2013 Multiple Indicator Cluster Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3,,,,,71.3,,65.3,,,68.3,,,,,,2013.0,68.3
MDA,28.4650624,47.20236795,498,Republic of Moldova,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,,,,,,,,,,,Moldova 2005 Demographic and Health Survey,,,,,,,Moldova 2012 Multiple Indicator Cluster Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4,,,,,,,60.4,,,,,,,2012.0,60.4
MNE,19.25214024,42.78717043,499,Montenegro,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,"Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception.",,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,Montenegro 2013 Multiple Indicator Cluster Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,,,,,,2013.0,34.1
BGD,89.17660788,22.86961622,50,Bangladesh,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,Figures by method do not add up to the total.,,,,,,,,C,,,,C,,,C,,,,C,,C,C,,,,,Bangladesh 1999-2000 Demographic and Health Survey,,,,Bangladesh 2004 Demographic and Health Survey,,,Bangladesh 2007 Demographic and Health Survey,,,,Bangladesh 2011 Demographic and Health Survey,,Bangladesh 2012-2013 Multiple Indicator Cluster Survey,Bangladesh 2014 Demographic and Health Survey,,,,,,,,,,,,,,,,,,,,,,,,60.7,,,,64.8,,,65.4,,,,69.7,,78.3,72.5,,,,,2014.0,72.5
MAR,-6.281942841,31.8440131,504,Morocco,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,Data pertain to a non-standard definition of unmet need for family planning.,,,,,,,,,,,,C,,,,,,,C,,,,,,,,,,,,Morocco 2003-2004 Demographic and Health Survey,,,,,,,Morocco 2011 Enquête Nationale sur la Population et la Santé Familiale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2,,,,,,,74.8,,,,,,,,2011.0,74.8
MOZ,38.18479941,-14.27963886,508,Mozambique,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,Preliminary data.,,,,,,,,C,,,,,,,C,,,,C,,,,,,,,Mozambique 2003 Demographic and Health Survey,,,,,,,Mozambique 2011 Demographic and Health Survey,,,,Mozambique 2015 AIDS Indicator Survey (AIS),,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,,,,,,28.2,,,,50.4,,,,2015.0,50.4
ARM,44.93839317,40.29499741,51,Armenia,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,Figures by method do not add up to the total.,,,C,,,,,C,,,,,C,,,,,,C,,,Armenia 2000 Demographic and Health Survey,,,,,Armenia 2005 Demographic and Health Survey,,,,,Armenia 2010 Demographic and Health Survey,,,,,,Armenia 2015 Demographic and Health Survey,,,,,,,,,,,,,,,,,,,,,,28.4,,,,,26.9,,,,,39.2,,,,,,40.2,,,2016.0,40.2
OMN,57.87743482,21.98805614,512,Oman,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,Data pertain to nationals of the country.,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,,,,,,,,,,Oman 2008 Reproductive Health Survey,,,,,,Oman 2014 Multiple Indicator Cluster Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,,,39.6,,,,,2014.0,39.6
