ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Age_Code,Age_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Footnotes_2017,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Nature_Code_2017,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,Source_2017,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,TimeDetail_2017,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Value_2017,Latest_Year,Latest_Value
,,,35,South-Eastern Asia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,Based on 8 countries with a population coverage of 95 per cent,,,,,,,,,,,,E,,,,,,,,,,,,"DHS, MICS, other national surveys, censuses and vital registration systems",,,,,,,,,,,,,,,,,,,,,,,,82.1,2017.0,82.1
ISL,-19.02116966,64.79134763,352,Iceland,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,2014.0,100.0000000000000
IND,79.3608464,22.34642074,356,India,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,NFHS,,,,,,,,,,,,,,,,,,,,,,,,79.7,,2016.0,79.7
AUS,134.3499412,-25.57717202,36,Australia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,,2013.0,100.0000000000000
IDN,113.9174,-0.994582204,360,Indonesia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,Children with a birth certificate,,,,,,,,,,,,C,,,,,,,,,,,,SUSENAS,,,,,,,,,,,,,,,,,,,,,,,,72.5,,2016.0,72.5
IRN,54.19766348,32.74370885,364,Iran (Islamic Republic of),16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,Only includes children with an Iranian parent who has a national ID card,,,,,,,,,,,,C,,,,,,,,,,,,MIDHS,,,,,,,,,,,,,,,,,,,,,,,,98.6000000000000,,,,,,,,2010.0,98.6000000000000
IRQ,43.76606267,33.05013795,368,Iraq,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,99.2000000000000,,,,,,,2011.0,99.2000000000000
IRL,-7.121425272,53.25274054,372,Ireland,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,2014.0,100.0000000000000
ISR,34.62277992,31.06164552,376,Israel,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,2014.0,100.0000000000000
ITA,12.57022427,42.79917282,380,Italy,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,2014.0,100.0000000000000
CIV,-5.552690016,7.62211586,384,Côte d'Ivoire,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,71.7,,2016.0,71.7
JAM,-77.31068409,18.15616857,388,Jamaica,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,Survey of Living Conditions,,,,,,,,,,,,,,,,,,,,,,,,99.5000000000000,,,,,,2012.0,99.5000000000000
JPN,139.2716103,36.6554539,392,Japan,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,,2013.0,100.0000000000000
KAZ,66.65359159,48.01963494,398,Kazakhstan,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,99.7000000000000,,,2015.0,99.7000000000000
AFG,66.02688198,33.83160199,4,Afghanistan,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,42.3000000000000,,,2015.0,42.3000000000000
AUT,14.14172472,47.58704857,40,Austria,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,2014.0,100.0000000000000
JOR,37.13024774,30.65365973,400,Jordan,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,99.1000000000000,,,,,,2012.0,99.1000000000000
KEN,37.86096816,0.534797278,404,Kenya,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,66.9000000000000,,,,2014.0,66.9000000000000
PRK,127.1803633,40.1462645,408,Democratic People's Republic of Korea,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,Not included in aggregates as falls outside year range,,,,,,,,,,,,C,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,,,,,,2009.0,100.0000000000000
KGZ,74.52324839,41.46204516,417,Kyrgyzstan,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,97.7000000000000,,,,2014.0,97.7000000000000
LAO,101.9901968,20.27482773,418,Lao People's Democratic Republic,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,74.8000000000000,,,,,,2012.0,74.8000000000000
,,,419,Latin America and the Caribbean,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,Based on 26 countries with a population coverage of 98 per cent,,,,,,,,,,,,E,,,,,,,,,,,,"DHS, MICS, other national surveys, censuses and vital registration systems",,,,,,,,,,,,,,,,,,,,,,,,94.8,2017.0,94.8
LBN,35.89391711,33.92152458,422,Lebanon,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,Not included in aggregates as falls outside year range,,,,,,,,,,,,C,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,99.5000000000000,,,,,,,,,2009.0,99.5000000000000
LSO,28.25362195,-29.58041814,426,Lesotho,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,43.3000000000000,,,,2014.0,43.3000000000000
LVA,26.42461876,56.64196636,428,Latvia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,2014.0,100.0000000000000
LBR,-9.311879038,6.448381009,430,Liberia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,Children with a birth certificate,,,,,,,,,,,,C,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,24.6000000000000,,,,,2013.0,24.6000000000000
,,,432,Landlocked developing countries (LLDCs),16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,Based on 29 countries with a population coverage of 93 per cent,,,,,,,,,,,,E,,,,,,,,,,,,"DHS, MICS, other national surveys, censuses and vital registration systems",,,,,,,,,,,,,,,,,,,,,,,,43.2,2017.0,43.2
LIE,9.552985019,47.14167005,438,Liechtenstein,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,2014.0,100.0000000000000
LTU,23.90517807,55.33680309,440,Lithuania,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,2014.0,100.0000000000000
LUX,6.092656563,49.77679538,442,Luxembourg,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,2014.0,100.0000000000000
MDG,46.6982339,-19.38514785,450,Madagascar,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,ENSOMD,,,,,,,,,,,,,,,,,,,,,,,,83.0000000000000,,,,,2013.0,83.0000000000000
MWI,33.4884625,-13.40819859,454,Malawi,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,67.2,,,2015.0,67.2
MDV,73.09672546,-0.614385021,462,Maldives,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,Not included in aggregates as falls outside year range,,,,,,,,,,,,C,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,92.5000000000000,,,,,,,,,2009.0,92.5000000000000
MLI,-3.522016039,17.35311254,466,Mali,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,MICS ,,,,,,,,,,,,,,,,,,,,,,,,87.2000000000000,,,2015.0,87.2000000000000
MLT,14.44617519,35.89194275,470,Malta,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,2014.0,100.0000000000000
MRT,-10.33187259,20.26089546,478,Mauritania,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,MICS ,,,,,,,,,,,,,,,,,,,,,,,,65.6000000000000,,,2015.0,65.6000000000000
MEX,-102.5148166,23.93378032,484,Mexico,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,95,,,2015.0,95
MCO,7.424214814,43.73532918,492,Monaco,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,2014.0,100.0000000000000
MNG,103.0728057,46.83892054,496,Mongolia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,99.3000000000000,,,,,2013.0,99.3000000000000
