series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of mobile technology	Units description	Type of mobile technology description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	212	-61.3493756	15.43391378	DMA	Dominica	3	PERCENT	AL4G	Percentage	at least 4g mobile network															10	21.44	0	10.48	2016	0	National Telecommunications Regulatory Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	PERCENT	AL3G	Percentage	at least 3g mobile network								80	98.8						80	98.8	98.95	92.5833333333333	2016	98.95	Instituto Dominicano de las Telecomunicaciones (INDOTEL)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	214	-70.49847576	18.89832088	DOM	Dominican Republic	2	PERCENT	AL2G	Percentage	at least 2g mobile network										88.6	94.2	92.86	94.59	97.41	98.5	98.8	98.95	97.65	2016	98.95	Instituto Dominicano de las Telecomunicaciones (INDOTEL)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	214	-70.49847576	18.89832088	DOM	Dominican Republic	3	PERCENT	AL4G	Percentage	at least 4g mobile network															10	86.4	86.4	60.9333333333333	2016	86.4	Instituto Dominicano de las Telecomunicaciones (INDOTEL)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	PERCENT	AL3G	Percentage	at least 3g mobile network		53.14	62.21	66.29	77.75	87.47	88.86	91.63	91.86	62.21	66.29	77.75	87.47	88.86	91.63	91.86	87.8	89.524	2016	87.8	Agencia de Regulación y Control de las Telecomunicaciones	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	218	-78.37005241	-1.447785891	ECU	Ecuador	2	PERCENT	AL2G	Percentage	at least 2g mobile network		80	80	80	80	80	84		89.28	91.3	93.3	94.63	96.04	96.58	96.88	96.98	96.76	96.648	2016	96.76	Agencia de Regulación y Control de las Telecomunicaciones	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	218	-78.37005241	-1.447785891	ECU	Ecuador	3	PERCENT	AL4G	Percentage	at least 4g mobile network															28.19	49.63	50.96	42.9266666666667	2016	50.96	Agencia de Regulación y Control de las Telecomunicaciones	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	222	-88.86862995	13.73603564	SLV	El Salvador	1	PERCENT	AL3G	Percentage	at least 3g mobile network								55.43	73.41						55.43	73.41	61.25	63.3633333333333	2016	61.25	Superintendencia General de Electricidad y Telecomunicaciones	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	222	-88.86862995	13.73603564	SLV	El Salvador	2	PERCENT	AL2G	Percentage	at least 2g mobile network		85	90	90	95	95	95	95							87.64	87.7	85.01	86.7833333333333	2016	85.01	Superintendencia General de Electricidad y Telecomunicaciones	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	222	-88.86862995	13.73603564	SLV	El Salvador	3	PERCENT	AL4G	Percentage	at least 4g mobile network																	15	15	2016	15	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	PERCENT	AL3G	Percentage	at least 3g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	2	PERCENT	AL2G	Percentage	at least 2g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	3	PERCENT	AL4G	Percentage	at least 4g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	231	39.63505296	8.631223181	ETH	Ethiopia	1	PERCENT	AL3G	Percentage	at least 3g mobile network					4	4		65	71			4	4		65	71	85	56.25	2016	85	Ministry of Communications and Information Technology	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	231	39.63505296	8.631223181	ETH	Ethiopia	2	PERCENT	AL2G	Percentage	at least 2g mobile network					9.7	10	10						73		90	95	97	88.75	2016	97	Ministry of Communications and Information Technology	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	231	39.63505296	8.631223181	ETH	Ethiopia	3	PERCENT	AL4G	Percentage	at least 4g mobile network															10	10	10	10	2016	10	Ministry of Communications and Information Technology	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	232	38.11074289	16.12894644	ERI	Eritrea	1	PERCENT	AL3G	Percentage	at least 3g mobile network						85	92	92	92				85	92	92	92		90.25	2015	92	ITU estimate	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	232	38.11074289	16.12894644	ERI	Eritrea	2	PERCENT	AL2G	Percentage	at least 2g mobile network	0	0	0	0			1.25	1.65	79.55	80	83	85	85	92		85		87.3333333333333	2015	85	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	232	38.11074289	16.12894644	ERI	Eritrea	3	PERCENT	AL4G	Percentage	at least 4g mobile network															0	0	0	0	2016	0	ITU estimate. 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	233	25.84093481	58.68487172	EST	Estonia	1	PERCENT	AL3G	Percentage	at least 3g mobile network			85	95	97	97	100	100	100	85	95	97	97	100	100	100	99	99.2	2016	99	Estonian Technical Regulatory Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	233	25.84093481	58.68487172	EST	Estonia	2	PERCENT	AL2G	Percentage	at least 2g mobile network	99	99	99	99	99	99.3	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	100	100	99	99.796	2016	99	Estonian Technical Regulatory Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	233	25.84093481	58.68487172	EST	Estonia	3	PERCENT	AL4G	Percentage	at least 4g mobile network															100	100	99	99.6666666666667	2016	99	Estonian Technical Regulatory Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	PERCENT	AL3G	Percentage	at least 3g mobile network									96							96	98	97	2016	98	Post and Telecom Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	234	-7.122044325	62.21228119	FRO	Faroe Islands	2	PERCENT	AL2G	Percentage	at least 2g mobile network			98	99	100	100	100	100	100	100	100	100	100			96	99.9	98.6333333333333	2016	99.9	Post and Telecom Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	234	-7.122044325	62.21228119	FRO	Faroe Islands	3	PERCENT	AL4G	Percentage	at least 4g mobile network																93	98	95.5	2016	98	Post and Telecom Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	PERCENT	AL3G	Percentage	at least 3g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	2	PERCENT	AL2G	Percentage	at least 2g mobile network	0	0	0	0		91.75		94.28	94	94	94	96	96	96	96			96	2014	96	Sure	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	3	PERCENT	AL4G	Percentage	at least 4g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	PERCENT	AL3G	Percentage	at least 3g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	2	PERCENT	AL2G	Percentage	at least 2g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	3	PERCENT	AL4G	Percentage	at least 4g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	242	177.9660884	-17.83301566	FJI	Fiji	1	PERCENT	AL3G	Percentage	at least 3g mobile network							30	30	68.35					30	30	68.35	96	56.0875	2016	96	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	242	177.9660884	-17.83301566	FJI	Fiji	2	PERCENT	AL2G	Percentage	at least 2g mobile network	40	49.5	55	55	55	60	65	65								88		88	2015	88	ITU estimate	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	242	177.9660884	-17.83301566	FJI	Fiji	3	PERCENT	AL4G	Percentage	at least 4g mobile network															15	17	90	40.6666666666667	2016	90	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	246	23.308447	61.91586738	FIN	Finland	1	PERCENT	AL3G	Percentage	at least 3g mobile network		80			95			95	99.9			95			95	99.9	99.9	98.2666666666667	2016	99.9	Finnish Communications Regulatory Authority (FICORA)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	246	23.308447	61.91586738	FIN	Finland	2	PERCENT	AL2G	Percentage	at least 2g mobile network	99	99	99	99	99	99	99	99	99.5	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	2016	99.99	Finnish Communications Regulatory Authority (FICORA)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	246	23.308447	61.91586738	FIN	Finland	3	PERCENT	AL4G	Percentage	at least 4g mobile network															95	99.9	99.9	98.2666666666667	2016	99.9	Finnish Communications Regulatory Authority (FICORA)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	248	19.80945969	60.1544901	ALA	Åland Islands	1	PERCENT	AL3G	Percentage	at least 3g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	248	19.80945969	60.1544901	ALA	Åland Islands	2	PERCENT	AL2G	Percentage	at least 2g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	248	19.80945969	60.1544901	ALA	Åland Islands	3	PERCENT	AL4G	Percentage	at least 4g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	250	2.457288129	46.62660861	FRA	France	1	PERCENT	AL3G	Percentage	at least 3g mobile network		72.5		91	98	98		98	99		91	98	98		98	99	99	98.5	2016	99	Autorité de Régulation des Communications électroniques et des postes	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	250	2.457288129	46.62660861	FRA	France	2	PERCENT	AL2G	Percentage	at least 2g mobile network	99.4	99	99	99	99	99	99	99	99	99	99	99	99		99	99	99	99	2016	99	Autorité de Régulation des Communications électroniques et des postes	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	250	2.457288129	46.62660861	FRA	France	3	PERCENT	AL4G	Percentage	at least 4g mobile network															74	80	90	81.3333333333333	2016	90	Autorité de Régulation des Communications électroniques et des postes	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	254	-53.23619089	3.922673437	GUF	French Guiana	1	PERCENT	AL3G	Percentage	at least 3g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	254	-53.23619089	3.922673437	GUF	French Guiana	2	PERCENT	AL2G	Percentage	at least 2g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	254	-53.23619089	3.922673437	GUF	French Guiana	3	PERCENT	AL4G	Percentage	at least 4g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	PERCENT	AL3G	Percentage	at least 3g mobile network		15	30	45	68	78	80	80	85	30	45	68	78	80	80	85	85	81.6	2016	85	Direction générale de l'économie numérique (DGEN)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	258	-149.4052367	-17.67709294	PYF	French Polynesia	2	PERCENT	AL2G	Percentage	at least 2g mobile network		70	75	85	96	96	96	96	97	97.8	98	98	98	98	98	98	98	98	2016	98	Direction générale de l'économie numérique (DGEN)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	258	-149.4052367	-17.67709294	PYF	French Polynesia	3	PERCENT	AL4G	Percentage	at least 4g mobile network															0	35	50	28.3333333333333	2016	50	Direction générale de l'économie numérique (DGEN)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	PERCENT	AL3G	Percentage	at least 3g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	260	69.64849091	-49.6068576	ATF	French Southern Territories	2	PERCENT	AL2G	Percentage	at least 2g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	260	69.64849091	-49.6068576	ATF	French Southern Territories	3	PERCENT	AL4G	Percentage	at least 4g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	262	42.18274707	11.56004161	DJI	Djibouti	1	PERCENT	AL3G	Percentage	at least 3g mobile network			0	0	0			0	0	0	0	0			0	0	57.61	19.2033333333333	2016	57.61	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	262	42.18274707	11.56004161	DJI	Djibouti	2	PERCENT	AL2G	Percentage	at least 2g mobile network	30	40	75	75	75	75	75	85	85	90	90	95	95					95	2012	95	Ministère de la Communication et de la Culture chargé des Postes et des Télécommunications	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	262	42.18274707	11.56004161	DJI	Djibouti	3	PERCENT	AL4G	Percentage	at least 4g mobile network																	0	0	2016	0	ITU estimate. 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	266	11.78727747	-0.60687619	GAB	Gabon	1	PERCENT	AL3G	Percentage	at least 3g mobile network								75	97						75	97	92	88	2016	92	Autorité de Régulation des Communications Électroniques et des Postes 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	266	11.78727747	-0.60687619	GAB	Gabon	2	PERCENT	AL2G	Percentage	at least 2g mobile network		12.5	23.27	23.7	74	78	78	79							93	97	98	96	2016	98	Autorité de Régulation des Communications Électroniques et des Postes 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	266	11.78727747	-0.60687619	GAB	Gabon	3	PERCENT	AL4G	Percentage	at least 4g mobile network															10	78	83	57	2016	83	Autorité de Régulation des Communications Électroniques et des Postes 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	268	43.3713615	42.04813028	GEO	Georgia	1	PERCENT	AL3G	Percentage	at least 3g mobile network								99	99						99	99	99.85	99.2833333333333	2016	99.85	Georgian National Communications Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	268	43.3713615	42.04813028	GEO	Georgia	2	PERCENT	AL2G	Percentage	at least 2g mobile network		79			94	95	95.9	95.9	98	99.3	99	99.1				99	99.93	99.465	2016	99.93	Georgian National Communications Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	268	43.3713615	42.04813028	GEO	Georgia	3	PERCENT	AL4G	Percentage	at least 4g mobile network															20	82	91.99	64.6633333333333	2016	91.99	Georgian National Communications Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	270	-15.39944785	13.45295927	GMB	Gambia	1	PERCENT	AL3G	Percentage	at least 3g mobile network			50					50	86	50					50	86	86	74	2016	86	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	270	-15.39944785	13.45295927	GMB	Gambia	2	PERCENT	AL2G	Percentage	at least 2g mobile network			70	70	70	70	70	85							94	96	96	95.3333333333333	2016	96	The Gambia Public Utilities Regulatory Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	270	-15.39944785	13.45295927	GMB	Gambia	3	PERCENT	AL4G	Percentage	at least 4g mobile network																	0	0	2016	0	The Gambia Public Utilities Regulatory Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	275	35.25694122	31.94347933	PSE	State of Palestine	1	PERCENT	AL3G	Percentage	at least 3g mobile network				0	0	0	0	0	0		0	0	0	0	0	0	0	0	2016	0	Palestinian Central Bureau of Statistics	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	275	35.25694122	31.94347933	PSE	State of Palestine	2	PERCENT	AL2G	Percentage	at least 2g mobile network	95	95	95	95	95	95	95	95								99	98	98.5	2016	98	Palestinian Central Bureau of Statistics	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	275	35.25694122	31.94347933	PSE	State of Palestine	3	PERCENT	AL4G	Percentage	at least 4g mobile network																	0	0	2016	0	Palestinian Central Bureau of Statistics	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	276	10.3806066	51.08862743	DEU	Germany	1	PERCENT	AL3G	Percentage	at least 3g mobile network		80			89	90	92	92.5	95.7			89	90	92	92.5	95.7	96.2	93.28	2016	96.2	Bundesnetzagentur (BNetzA) / Federal Network Agency	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	276	10.3806066	51.08862743	DEU	Germany	2	PERCENT	AL2G	Percentage	at least 2g mobile network	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	2016	99	Bundesnetzagentur (BNetzA) / Federal Network Agency	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	276	10.3806066	51.08862743	DEU	Germany	3	PERCENT	AL4G	Percentage	at least 4g mobile network															92.1	95.7	96.2	94.6666666666667	2016	96.2	Bundesnetzagentur (BNetzA) / Federal Network Agency	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	288	-1.205623522	7.964825185	GHA	Ghana	1	PERCENT	AL3G	Percentage	at least 3g mobile network			35	36	38	40		70	80	35	36	38	40		70	80	80	67.5	2016	80	National Communications Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	288	-1.205623522	7.964825185	GHA	Ghana	2	PERCENT	AL2G	Percentage	at least 2g mobile network						59	65.3	68	73	75	77	84.9	87			96.79	96.79	93.5266666666667	2016	96.79	National Communications Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	288	-1.205623522	7.964825185	GHA	Ghana	3	PERCENT	AL4G	Percentage	at least 4g mobile network															10	23	34.86	22.62	2016	34.86	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	PERCENT	AL3G	Percentage	at least 3g mobile network								100	100						100	100	100	100	2016	100	Gibraltar Regulatory Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	292	-5.347561686	36.13895036	GIB	Gibraltar	2	PERCENT	AL2G	Percentage	at least 2g mobile network	100	100	100	100	100											100	100	100	2016	100	Gibraltar Regulatory Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	292	-5.347561686	36.13895036	GIB	Gibraltar	3	PERCENT	AL4G	Percentage	at least 4g mobile network																100	100	100	2016	100	Gibraltar Regulatory Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	296	-157.5643005	1.768837732	KIR	Kiribati	1	PERCENT	AL3G	Percentage	at least 3g mobile network									63							63	60	61.5	2016	60	Ministry of Information, Communication, Transport & Tourism Development	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	296	-157.5643005	1.768837732	KIR	Kiribati	2	PERCENT	AL2G	Percentage	at least 2g mobile network																70		70	2015	70	Ministry of Information, Communication, Transport and Tourism Development	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	296	-157.5643005	1.768837732	KIR	Kiribati	3	PERCENT	AL4G	Percentage	at least 4g mobile network															20	54	40	38	2016	40	Ministry of Information, Communication, Transport & Tourism Development	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	300	22.58307827	39.47301873	GRC	Greece	1	PERCENT	AL3G	Percentage	at least 3g mobile network		88	74.5	96	98	98	98.7	98.7	99.3	74.5	96	98	98	98.7	98.7	99.3	99.4	98.82	2016	99.4	Hellenic Telecommunications & Post Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	300	22.58307827	39.47301873	GRC	Greece	2	PERCENT	AL2G	Percentage	at least 2g mobile network	99	99.5	99.6	99.6	99.6	99.7	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	2016	99.9	Hellenic Telecommunications & Post Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	300	22.58307827	39.47301873	GRC	Greece	3	PERCENT	AL4G	Percentage	at least 4g mobile network															55	83	93	77	2016	93	Hellenic Telecommunications & Post Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	304	-41.39371316	74.75625681	GRL	Greenland	1	PERCENT	AL3G	Percentage	at least 3g mobile network	0	0	0	25	34	49		49	49	0	25	34	49		49	49	99	61.5	2016	99	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	304	-41.39371316	74.75625681	GRL	Greenland	2	PERCENT	AL2G	Percentage	at least 2g mobile network						90		97	97	99	99.5	99.5	99.9					99.9	2012	99.9	Tele Greenland A/S	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	304	-41.39371316	74.75625681	GRL	Greenland	3	PERCENT	AL4G	Percentage	at least 4g mobile network															65	75	92	77.3333333333333	2016	92	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	308	-61.68248568	12.11238395	GRD	Grenada	1	PERCENT	AL3G	Percentage	at least 3g mobile network								100	75						100	75	81.85	85.6166666666667	2016	81.85	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	308	-61.68248568	12.11238395	GRD	Grenada	2	PERCENT	AL2G	Percentage	at least 2g mobile network	65														100			100	2014	100	National Telecommunications Regulatory Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	308	-61.68248568	12.11238395	GRD	Grenada	3	PERCENT	AL4G	Percentage	at least 4g mobile network															60	75		67.5	2015	75	ITU estimate	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	PERCENT	AL3G	Percentage	at least 3g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	312	-61.64762115	16.14416917	GLP	Guadeloupe	2	PERCENT	AL2G	Percentage	at least 2g mobile network					95	99													2005	99	NA	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	312	-61.64762115	16.14416917	GLP	Guadeloupe	3	PERCENT	AL4G	Percentage	at least 4g mobile network																	95	95	2016	95	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	316	144.7029305	13.35485404	GUM	Guam	1	PERCENT	AL3G	Percentage	at least 3g mobile network																	92.67	92.67	2016	92.67	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	316	144.7029305	13.35485404	GUM	Guam	2	PERCENT	AL2G	Percentage	at least 2g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	316	144.7029305	13.35485404	GUM	Guam	3	PERCENT	AL4G	Percentage	at least 4g mobile network															45	65	82.79	64.2633333333333	2016	82.79	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	320	-91.2312746	15.00273719	GTM	Guatemala	1	PERCENT	AL3G	Percentage	at least 3g mobile network						53	86	92	92				53	86	92	92	95	83.6	2016	95	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	320	-91.2312746	15.00273719	GTM	Guatemala	2	PERCENT	AL2G	Percentage	at least 2g mobile network	54	68					76						100	100	100	100	100	100	2016	100	Superintendencia de Telecomunicaciones (SIT)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	320	-91.2312746	15.00273719	GTM	Guatemala	3	PERCENT	AL4G	Percentage	at least 4g mobile network															10	1	40.35	17.1166666666667	2016	40.35	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	324	-11.28173419	11.00210343	GIN	Guinea	1	PERCENT	AL3G	Percentage	at least 3g mobile network								0	39.1						0	39.1	39.1	26.0666666666667	2016	39.1	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	324	-11.28173419	11.00210343	GIN	Guinea	2	PERCENT	AL2G	Percentage	at least 2g mobile network							80	80	80							99.1		99.1	2015	99.1	Ministère de la Communication et des Nouvelles Technologies de l'Information	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	324	-11.28173419	11.00210343	GIN	Guinea	3	PERCENT	AL4G	Percentage	at least 4g mobile network															0	10.3	10.3	6.86666666666667	2016	10.3	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	328	-58.97322037	4.788012784	GUY	Guyana	1	PERCENT	AL3G	Percentage	at least 3g mobile network	0	0	0	0	0			0	0	0	0	0			0	0	93	31	2016	93	National Frequency Management Unit	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	328	-58.97322037	4.788012784	GUY	Guyana	2	PERCENT	AL2G	Percentage	at least 2g mobile network					95	95			88	94	95	97		97.1		97.1	97.1	97.1	2016	97.1	National Frequency Management Unit	
